Num Players: 8
Num Rounds: 5000000
Num Hands: 40000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	6971433	17.4286	151	0.00302
Pair	17530114	43.8253	561141	11.2228
TwoPair	9393242	23.4831	1323007	26.4601
Set	1933684	4.83421	798864	15.9773
Straight	1845478	4.6137	953925	19.0785
Flush	1211454	3.02864	634061	12.6812
FullHouse	1037670	2.59418	660720	13.2144
Quads	67381	0.168453	59031	1.18062
StraighFlush	8542	0.021355	8129	0.16258
RoyalFlush	1002	0.002505	971	0.01942

Straight when connector	7.48384
Flush when Suited 	6.51908

Set when pair up	52.1043
Straight when three up	38.4105
Straight when four up	45.9339
Flush when three up	65.2954
Flush when four up	299.863
Full House when pair up	22.5021
Full House when set up	267.336
Full House when two pair up	132.555
Quad when pair up	0.86867
Quad when set up	34.0291

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	181590	0.453975	70312.1	38.7203	1.40624	0	0	0	-1.#IND	0
A K	483471	1.20868	108642	22.4712	2.17283	120493	0.301232	31836	26.4215	0.63672
A Q	481670	1.20417	98484.2	20.4464	1.96968	120315	0.300788	29758	24.7334	0.59516
A J	481885	1.20471	91336.9	18.9541	1.82674	120322	0.300805	28413	23.6141	0.56826
A 10	483037	1.20759	87255.2	18.0639	1.7451	120280	0.3007	27462	22.8317	0.54924
A 9	483437	1.20859	75247.6	15.5651	1.50495	120502	0.301255	24630	20.4395	0.4926
A 8	482334	1.20583	72044.9	14.9367	1.4409	121089	0.302723	24053	19.8639	0.48106
A 7	482441	1.2061	68083.5	14.1123	1.36167	120713	0.301782	23307	19.3078	0.46614
A 6	483250	1.20812	65622.3	13.5794	1.31245	121157	0.302893	22857	18.8656	0.45714
A 5	481739	1.20435	68477.1	14.2146	1.36954	120507	0.301268	23531	19.5267	0.47062
A 4	483256	1.20814	67250.3	13.9161	1.34501	120725	0.301812	23353	19.344	0.46706
A 3	483549	1.20887	65033.1	13.4491	1.30066	120696	0.30174	22329	18.5002	0.44658
A 2	483159	1.2079	62958.1	13.0305	1.25916	120542	0.301355	21719	18.0178	0.43438
K K	181138	0.452845	59289.6	32.7317	1.18579	0	0	0	-1.#IND	0
K Q	483171	1.20793	96474.8	19.967	1.92949	120172	0.30043	28839	23.9981	0.57678
K J	482274	1.20569	89528.3	18.5638	1.79057	120833	0.302083	27465	22.7297	0.5493
K 10	482779	1.20695	84676.5	17.5394	1.69353	120843	0.302108	26772	22.1544	0.53544
K 9	482828	1.20707	72829.9	15.084	1.4566	119993	0.299982	23582	19.6528	0.47164
K 8	483532	1.20883	64854	13.4125	1.29708	120571	0.301428	21993	18.2407	0.43986
K 7	481475	1.20369	62379.1	12.9558	1.24758	120531	0.301327	21657	17.968	0.43314
K 6	482081	1.2052	59762.6	12.3968	1.19525	120272	0.30068	21013	17.4712	0.42026
K 5	482550	1.20638	57829.4	11.9841	1.15659	120250	0.300625	20638	17.1626	0.41276
K 4	481966	1.20492	56489.5	11.7206	1.12979	120048	0.30012	20230	16.8516	0.4046
K 3	482301	1.20575	55028	11.4095	1.10056	120780	0.30195	19523	16.1641	0.39046
K 2	482524	1.20631	53907.5	11.172	1.07815	120387	0.300968	19131	15.8913	0.38262
Q Q	180257	0.450642	51028.4	28.3087	1.02057	0	0	0	-1.#IND	0
Q J	482550	1.20638	87305.8	18.0926	1.74612	120747	0.301868	26758	22.1604	0.53516
Q 10	484685	1.21171	83338	17.1943	1.66676	120953	0.302382	26029	21.5199	0.52058
Q 9	482835	1.20709	70683.9	14.6394	1.41368	120951	0.302377	22937	18.9639	0.45874
Q 8	481842	1.2046	62608.9	12.9937	1.25218	120302	0.300755	21234	17.6506	0.42468
Q 7	483495	1.20874	55916.4	11.565	1.11833	121203	0.303008	19974	16.4798	0.39948
Q 6	482685	1.20671	54146.6	11.2178	1.08293	120208	0.30052	19467	16.1944	0.38934
Q 5	482694	1.20674	52719.5	10.9219	1.05439	120629	0.301573	19196	15.9133	0.38392
Q 4	482601	1.2065	50444	10.4525	1.00888	120190	0.300475	18682	15.5437	0.37364
Q 3	482711	1.20678	49484.3	10.2513	0.989685	120632	0.30158	18336	15.1999	0.36672
Q 2	481674	1.20419	48537.1	10.0768	0.970742	120326	0.300815	17875	14.8555	0.3575
J J	180837	0.452092	44799	24.7731	0.895979	0	0	0	-1.#IND	0
J 10	483484	1.20871	82853.6	17.1368	1.65707	120957	0.302393	25948	21.4523	0.51896
J 9	482641	1.2066	70995.1	14.7097	1.4199	120670	0.301675	23117	19.1572	0.46234
J 8	483778	1.20944	62874.7	12.9966	1.25749	121038	0.302595	21394	17.6754	0.42788
J 7	482329	1.20582	55780.9	11.5649	1.11562	120417	0.301042	19630	16.3017	0.3926
J 6	483110	1.20777	49340.4	10.2131	0.986809	120604	0.30151	18226	15.1123	0.36452
J 5	482533	1.20633	48710.7	10.0948	0.974215	120509	0.301273	18104	15.0229	0.36208
J 4	481667	1.20417	46863.3	9.7294	0.937266	120351	0.300878	17431	14.4835	0.34862
J 3	481354	1.20338	46066.8	9.57025	0.921336	120132	0.30033	17326	14.4225	0.34652
J 2	483296	1.20824	44761.7	9.26175	0.895233	120793	0.301982	16849	13.9487	0.33698
10 10	180711	0.451777	39330.5	21.7643	0.78661	0	0	0	-1.#IND	0
10 9	482351	1.20588	72619.3	15.0553	1.45239	120121	0.300303	23119	19.2464	0.46238
10 8	481764	1.20441	64440.8	13.376	1.28882	120412	0.30103	21725	18.0422	0.4345
10 7	482282	1.20571	56868.6	11.7916	1.13737	120515	0.301288	19856	16.476	0.39712
10 6	481397	1.20349	50638.9	10.5192	1.01278	119999	0.299998	18346	15.2885	0.36692
10 5	482153	1.20538	45075.9	9.34888	0.901518	120261	0.300653	17039	14.1684	0.34078
10 4	482324	1.20581	44437.8	9.21326	0.888756	120674	0.301685	17011	14.0967	0.34022
10 3	482473	1.20618	43346.3	8.98418	0.866925	121203	0.303008	16608	13.7026	0.33216
10 2	482030	1.20508	41772	8.66584	0.835439	120680	0.3017	16007	13.264	0.32014
9 9	180932	0.45233	35418.2	19.5754	0.708363	0	0	0	-1.#IND	0
9 8	483633	1.20908	63724.6	13.1762	1.27449	121120	0.3028	21243	17.5388	0.42486
9 7	483168	1.20792	57599.3	11.9212	1.15199	120925	0.302312	19593	16.2026	0.39186
9 6	482952	1.20738	51391.1	10.641	1.02782	120521	0.301302	18252	15.1442	0.36504
9 5	482295	1.20574	45797.1	9.49566	0.915942	120688	0.30172	17119	14.1845	0.34238
9 4	483081	1.2077	40071.5	8.29498	0.80143	120398	0.300995	15236	12.6547	0.30472
9 3	484527	1.21132	39647.5	8.18271	0.792949	120417	0.301042	15325	12.7266	0.3065
