Num Players: 5
Num Rounds: 5000000
Num Hands: 25000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	4353548	17.4142	9570	0.1914
Pair	10960855	43.8434	980901	19.618
TwoPair	5870074	23.4803	1618654	32.3731
Set	1205538	4.82215	628497	12.5699
Straight	1154980	4.61992	749773	14.9955
Flush	760294	3.04118	490298	9.80596
FullHouse	647337	2.58935	479847	9.59694
Quads	41549	0.166196	36847	0.73694
StraighFlush	5233	0.020932	5035	0.1007
RoyalFlush	592	0.002368	578	0.01156

Straight when connector	7.49105
Flush when Suited 	6.54306

Set when pair up	32.527
Straight when three up	24.0091
Straight when four up	28.6773
Flush when three up	40.9667
Flush when four up	187.643
Full House when pair up	14.0433
Full House when set up	166.63
Full House when two pair up	82.8249
Quad when pair up	0.530079
Quad when set up	21.2017

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	113026	0.452104	63338.5	56.0389	1.26677	0	0	0	-1.#IND	0
A K	300983	1.20393	99732.6	33.1356	1.99465	75226	0.300904	27678	36.7931	0.55356
A Q	302158	1.20863	94332.1	31.2195	1.88664	75851	0.303404	26741	35.2546	0.53482
A J	302038	1.20815	89495.8	29.6306	1.78992	75785	0.30314	25752	33.9803	0.51504
A 10	300854	1.20342	84961.1	28.24	1.69922	74822	0.299288	24224	32.3755	0.48448
A 9	301386	1.20554	76776.6	25.4745	1.53553	75376	0.301504	22894	30.3731	0.45788
A 8	302735	1.21094	74187.3	24.5057	1.48375	75631	0.302524	22153	29.2909	0.44306
A 7	301236	1.20494	70851.1	23.5201	1.41702	74996	0.299984	21509	28.6802	0.43018
A 6	302152	1.20861	67459.9	22.3265	1.3492	75693	0.302772	20598	27.2126	0.41196
A 5	301837	1.20735	69482.4	23.0198	1.38965	75357	0.301428	21195	28.1261	0.4239
A 4	301332	1.20533	67088.7	22.264	1.34177	75394	0.301576	20821	27.6163	0.41642
A 3	301873	1.20749	65204.8	21.6001	1.3041	75545	0.30218	20266	26.8264	0.40532
A 2	301442	1.20577	63152.4	20.9501	1.26305	75033	0.300132	19742	26.3111	0.39484
K K	113598	0.454392	56706.7	49.9187	1.13413	0	0	0	-1.#IND	0
K Q	301164	1.20466	90395.5	30.0154	1.80791	75513	0.302052	25513	33.7862	0.51026
K J	301632	1.20653	86217.5	28.5837	1.72435	75584	0.302336	24721	32.7067	0.49442
K 10	300951	1.2038	81696.8	27.1462	1.63394	75338	0.301352	23717	31.4808	0.47434
K 9	300822	1.20329	73494.7	24.4313	1.46989	75322	0.301288	21774	28.9079	0.43548
K 8	301063	1.20425	66830.3	22.1981	1.33661	75739	0.302956	20299	26.8013	0.40598
K 7	301197	1.20479	64803.4	21.5153	1.29607	75526	0.302104	20042	26.5366	0.40084
K 6	302394	1.20958	62429.3	20.645	1.24859	75782	0.303128	19456	25.6736	0.38912
K 5	302331	1.20932	60538.1	20.0238	1.21076	75342	0.301368	19103	25.355	0.38206
K 4	302400	1.2096	58511.3	19.349	1.17023	75383	0.301532	18492	24.5307	0.36984
K 3	301428	1.20571	56619.4	18.7837	1.13239	75237	0.300948	18073	24.0214	0.36146
K 2	301355	1.20542	54839	18.1975	1.09678	75153	0.300612	17422	23.182	0.34844
Q Q	112690	0.45076	50367	44.6952	1.00734	0	0	0	-1.#IND	0
Q J	301303	1.20521	83447.1	27.6954	1.66894	75169	0.300676	23685	31.509	0.4737
Q 10	301689	1.20676	79885.7	26.4795	1.59771	75848	0.303392	23378	30.8222	0.46756
Q 9	301613	1.20645	70978.3	23.5329	1.41956	75596	0.302384	21168	28.0015	0.42336
Q 8	301872	1.20749	64975.7	21.5243	1.29951	75763	0.303052	19975	26.3651	0.3995
Q 7	301522	1.20609	58690	19.4646	1.1738	75341	0.301364	18148	24.0878	0.36296
Q 6	302517	1.21007	57424.7	18.9823	1.14849	75421	0.301684	17935	23.7799	0.3587
Q 5	302227	1.20891	55168.2	18.2539	1.10336	75548	0.302192	17500	23.1641	0.35
Q 4	301771	1.20708	53519	17.735	1.07038	75705	0.30282	17063	22.5388	0.34126
Q 3	302045	1.20818	51891.8	17.1802	1.03784	75816	0.303264	16817	22.1813	0.33634
Q 2	301676	1.2067	49859.5	16.5275	0.99719	75631	0.302524	16175	21.3867	0.3235
J J	113000	0.452	45506.6	40.2713	0.910132	0	0	0	-1.#IND	0
J 10	301567	1.20627	79054.7	26.2147	1.58109	75406	0.301624	23077	30.6037	0.46154
J 9	300717	1.20287	70028.4	23.2871	1.40057	75329	0.301316	20731	27.5206	0.41462
J 8	300978	1.20391	63429.4	21.0744	1.26859	75590	0.30236	19377	25.6343	0.38754
J 7	302376	1.2095	58339	19.2935	1.16678	75441	0.301764	18083	23.9697	0.36166
J 6	301307	1.20523	52404.6	17.3924	1.04809	75036	0.300144	16600	22.1227	0.332
J 5	302041	1.20816	51141.2	16.9319	1.02282	75551	0.302204	16401	21.7085	0.32802
J 4	302055	1.20822	49400.4	16.3548	0.988007	75594	0.302376	15956	21.1075	0.31912
J 3	301565	1.20626	47755.8	15.836	0.955115	75222	0.300888	15648	20.8024	0.31296
J 2	301383	1.20553	46646.5	15.4775	0.932929	75591	0.302364	15245	20.1677	0.3049
10 10	112682	0.450728	40897.8	36.2949	0.817956	0	0	0	-1.#IND	0
10 9	301322	1.20529	69953.3	23.2155	1.39907	75416	0.301664	20625	27.3483	0.4125
10 8	301115	1.20446	64147.7	21.3034	1.28295	75504	0.302016	19443	25.751	0.38886
10 7	302132	1.20853	57914.2	19.1685	1.15828	75661	0.302644	18210	24.0679	0.3642
10 6	301771	1.20708	52676.4	17.4557	1.05353	75251	0.301004	16787	22.308	0.33574
10 5	302736	1.21094	47964.7	15.8438	0.959295	75502	0.302008	15499	20.5279	0.30998
10 4	302373	1.20949	46633.8	15.4226	0.932677	75739	0.302956	15417	20.3554	0.30834
10 3	300869	1.20348	44620.8	14.8306	0.892415	75188	0.300752	14952	19.8862	0.29904
10 2	301531	1.20612	43376.9	14.3856	0.867539	75212	0.300848	14588	19.3958	0.29176
9 9	113262	0.453048	36921.9	32.5987	0.738438	0	0	0	-1.#IND	0
9 8	301585	1.20634	62945.7	20.8716	1.25891	75295	0.30118	18891	25.0893	0.37782
