Num Players: 4
Num Rounds: 5000000
Num Hands: 20000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	3484912	17.4246	31373	0.62746
Pair	8766308	43.8315	1206841	24.1368
TwoPair	4700226	23.5011	1689283	33.7857
Set	964064	4.82032	552073	11.0415
Straight	922992	4.61496	653440	13.0688
Flush	605839	3.0292	425775	8.5155
FullHouse	517855	2.58927	407195	8.1439
Quads	33115	0.165575	29482	0.58964
StraighFlush	4125	0.020625	3981	0.07962
RoyalFlush	564	0.00282	557	0.01114

Straight when connector	7.49501
Flush when Suited 	6.50064

Set when pair up	26.0416
Straight when three up	19.2066
Straight when four up	22.9567
Flush when three up	32.6617
Flush when four up	150.16
Full House when pair up	11.2366
Full House when set up	133.603
Full House when two pair up	66.3106
Quad when pair up	0.417455
Quad when set up	16.9198

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	90393	0.451965	57505.1	63.6168	1.1501	0	0	0	-1.#IND	0
A K	241613	1.20807	95085.9	39.3546	1.90172	60462	0.30231	25891	42.8219	0.51782
A Q	241333	1.20667	90533.8	37.5141	1.81068	60356	0.30178	24816	41.116	0.49632
A J	240502	1.20251	86674.7	36.0391	1.73349	60397	0.301985	24103	39.9076	0.48206
A 10	241909	1.20955	83702.5	34.6008	1.67405	60358	0.30179	23550	39.0172	0.471
A 9	241297	1.20649	76942.7	31.8871	1.53885	60479	0.302395	21840	36.1117	0.4368
A 8	241187	1.20594	74167.5	30.751	1.48335	60302	0.30151	21378	35.4516	0.42756
A 7	240056	1.20028	71719.2	29.876	1.43438	60068	0.30034	20814	34.6507	0.41628
A 6	240955	1.20477	68444.3	28.4054	1.36889	60479	0.302395	20194	33.3901	0.40388
A 5	241526	1.20763	69984	28.9758	1.39968	60382	0.30191	20358	33.7153	0.40716
A 4	241162	1.20581	67959.9	28.1802	1.3592	60337	0.301685	19985	33.1223	0.3997
A 3	241570	1.20785	65897.8	27.279	1.31796	60345	0.301725	19399	32.1468	0.38798
A 2	241154	1.20577	63748.5	26.4348	1.27497	60066	0.30033	18938	31.5287	0.37876
K K	90869	0.454345	52879.1	58.1926	1.05758	0	0	0	-1.#IND	0
K Q	241703	1.20852	87256	36.1005	1.74512	60652	0.30326	24153	39.8223	0.48306
K J	242039	1.21019	83331.8	34.4291	1.66664	60927	0.304635	23437	38.4673	0.46874
K 10	242593	1.21297	80511.4	33.1879	1.61023	60701	0.303505	22642	37.3009	0.45284
K 9	242020	1.2101	73735.3	30.4666	1.47471	60811	0.304055	21099	34.696	0.42198
K 8	241658	1.20829	67711.6	28.0196	1.35423	60474	0.30237	19453	32.1675	0.38906
K 7	240853	1.20426	65407.2	27.1565	1.30814	60338	0.30169	19287	31.9649	0.38574
K 6	240901	1.2045	63219.1	26.2428	1.26438	60105	0.300525	18769	31.227	0.37538
