A A	85.3728	73.3726	63.6168	56.0389	49.2841	43.557	38.7203	34.4978	31.0509	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
A K	65.8911	48.9221	39.3546	33.1356	28.5649	25.1899	22.4712	19.9787	17.9874	67.9444	51.8803	42.8219	36.7931	32.4694	29.0391	26.4215	23.7855	21.9367
A Q	64.891	47.6012	37.5141	31.2195	26.6298	23.2512	20.4464	18.2371	16.3647	67.1982	50.9786	41.116	35.2546	30.5918	27.3104	24.7334	22.5896	20.6469
A J	63.9289	46.165	36.0391	29.6306	25.1237	21.8054	18.9541	16.9816	15.0779	66.0431	49.3438	39.9076	33.9803	29.5202	26.2223	23.6141	21.5718	19.6419
A 10	63.2667	44.9066	34.6008	28.24	23.9276	20.5259	18.0639	15.8928	14.3051	65.9384	48.4614	39.0172	32.3755	28.4052	25.134	22.8317	20.8218	18.9569
A 9	61.0251	42.3158	31.8871	25.4745	21.1072	17.9181	15.5651	13.6083	12.2142	63.8527	46.2953	36.1117	30.3731	25.8945	22.7859	20.4395	18.2937	17.1938
A 8	60.2448	41.277	30.751	24.5057	20.3247	17.3118	14.9367	13.1254	11.6249	63.4886	45.4047	35.4516	29.2909	25.2971	22.2566	19.8639	18.2941	16.6286
A 7	59.366	40.0612	29.876	23.5201	19.412	16.3627	14.1123	12.4317	11.0872	62.924	44.2213	34.6507	28.6802	24.5917	21.2882	19.3078	17.4896	16.2948
A 6	58.1876	38.6345	28.4054	22.3265	18.3735	15.5786	13.5794	11.9245	10.5818	61.4771	43.4802	33.3901	27.2126	23.3017	20.7105	18.8656	17.0752	15.7766
A 5	58.3049	38.7803	28.9758	23.0198	19.1319	16.4116	14.2146	12.5776	11.3038	61.8016	43.4719	33.7153	28.1261	24.4757	21.6849	19.5267	17.8916	16.5608
A 4	57.2806	38.2112	28.1802	22.264	18.4259	15.8647	13.9161	12.2467	10.9752	60.8889	42.8647	33.1223	27.6163	23.7792	21.0636	19.344	17.2678	16.108
A 3	56.1916	36.9778	27.279	21.6001	17.9999	15.4117	13.4491	11.9538	10.7079	59.613	41.8513	32.1468	26.8264	23.2064	20.4232	18.5002	17.026	15.8345
A 2	55.5062	36.1352	26.4348	20.9501	17.3216	14.8901	13.0305	11.5282	10.378	59.571	40.7692	31.5287	26.3111	22.525	20.0771	18.0178	16.7588	15.3631
K K	82.1975	68.7723	58.1926	49.9187	43.0124	37.366	32.7317	29.0263	26.1908	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
K Q	61.9988	44.9586	36.1005	30.0154	25.8367	22.5513	19.967	17.8984	15.8806	64.5526	48.1753	39.8223	33.7862	29.8065	26.4211	23.9981	22.0013	19.9113
K J	60.9115	43.8095	34.4291	28.5837	24.3108	21.0334	18.5638	16.4927	14.7726	63.8195	47.2013	38.4673	32.7067	28.4617	25.3856	22.7297	20.7472	19.1777
K 10	60.1171	42.615	33.1879	27.1462	23.133	20.0213	17.5394	15.62	13.9677	62.9858	46.3149	37.3009	31.4808	27.3071	24.4656	22.1544	20.1271	18.7567
K 9	58.3799	40.0802	30.4666	24.4313	20.3368	17.3838	15.084	13.2125	11.7687	61.5931	43.9448	34.696	28.9079	24.7266	22.003	19.6528	17.8711	16.479
K 8	56.4444	37.8615	28.0196	22.1981	18.3236	15.4815	13.4125	11.6617	10.4027	59.4804	41.7987	32.1675	26.8013	23.1507	20.2284	18.2407	16.4257	15.1006
K 7	55.8456	36.8201	27.1565	21.5153	17.6922	14.9573	12.9558	11.3143	10.0738	59.3517	41.2382	31.9649	26.5366	22.6055	19.8881	17.968	16.2703	14.9527
K 6	54.9045	35.8988	26.2428	20.645	17.0266	14.404	12.3968	10.9352	9.65583	58.6325	40.4773	31.227	25.6736	22.0956	19.3758	17.4712	15.9535	14.6991
K 5	53.9779	34.7705	25.3476	20.0238	16.4056	13.8864	11.9841	10.5909	9.41199	57.9116	39.5475	30.3708	25.355	21.3861	19.1152	17.1626	15.6304	14.3743
K 4	53.0982	33.9912	24.6896	19.349	15.8412	13.4898	11.7206	10.2557	9.20364	57.0437	38.6374	29.8226	24.5307	20.8297	18.5501	16.8516	15.2278	14.2669
K 3	52.0186	33.0034	23.9694	18.7837	15.4654	13.1396	11.4095	10.0336	9.00394	55.9419	37.832	29.3065	24.0214	20.4395	18.3804	16.1641	14.9949	13.962
K 2	51.2489	32.0933	23.141	18.1975	15.0502	12.8053	11.172	9.85645	8.79889	55.6534	36.8334	28.171	23.182	20.0073	17.6532	15.8913	14.6127	13.4273
Q Q	79.7283	65.0531	53.3411	44.6952	37.7546	32.5704	28.3087	24.9508	22.1952	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
Q J	58.5518	41.95	33.4348	27.6954	23.6321	20.5884	18.0926	16.1921	14.5984	61.2719	45.6776	37.1143	31.509	27.7929	24.8798	22.1604	20.5172	18.8982
Q 10	57.8058	40.9207	31.9742	26.4795	22.5188	19.4435	17.1943	15.2553	13.7805	60.9515	44.7626	36.0423	30.8222	26.6903	23.8532	21.5199	19.9566	18.1613
