Num Players: 8
Num Rounds: 5000000
Num Hands: 40000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	6971433	17.4286	151	0.00302
Pair	17530114	43.8253	561141	11.2228
TwoPair	9393242	23.4831	1323007	26.4601
Set	1933684	4.83421	798864	15.9773
Straight	1845478	4.6137	953925	19.0785
Flush	1211454	3.02864	634061	12.6812
FullHouse	1037670	2.59418	660720	13.2144
Quads	67381	0.168453	59031	1.18062
StraighFlush	8542	0.021355	8129	0.16258
RoyalFlush	1002	0.002505	971	0.01942

Straight when connector	7.48384
Flush when Suited 	6.51908

Set when pair up	52.1043
Straight when three up	38.4105
Straight when four up	45.9339
Flush when three up	65.2954
Flush when four up	299.863
Full House when pair up	22.5021
Full House when set up	267.336
Full House when two pair up	132.555
Quad when pair up	0.86867
Quad when set up	34.0291

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	181590	0.453975	70305.6	38.7167	1.40611	0	0	0	-1.#IND	0
A K	483471	1.20868	108705	22.4844	2.17411	120493	0.301232	31843	26.4273	0.63686
A Q	481670	1.20417	98536.8	20.4573	1.97074	120315	0.300788	29761	24.7359	0.59522
A J	481885	1.20471	91386.7	18.9644	1.82773	120322	0.300805	28419	23.6191	0.56838
A 10	483037	1.20759	87305.3	18.0743	1.74611	120280	0.3007	27465	22.8342	0.5493
A 9	483437	1.20859	75308.5	15.5777	1.50617	120502	0.301255	24639	20.447	0.49278
A 8	482334	1.20583	72097.7	14.9477	1.44195	121089	0.302723	24059	19.8689	0.48118
A 7	482441	1.2061	68149.2	14.1259	1.36298	120713	0.301782	23314	19.3136	0.46628
A 6	483250	1.20812	65676	13.5905	1.31352	121157	0.302893	22861	18.8689	0.45722
A 5	481739	1.20435	68542.4	14.2281	1.37085	120507	0.301268	23537	19.5316	0.47074
A 4	483256	1.20814	67311.1	13.9287	1.34622	120725	0.301812	23358	19.3481	0.46716
A 3	483549	1.20887	65097.2	13.4624	1.30194	120696	0.30174	22330	18.501	0.4466
A 2	483159	1.2079	63021.6	13.0437	1.26043	120542	0.301355	21723	18.0211	0.43446
K K	181138	0.452845	59267.6	32.7196	1.18535	0	0	0	-1.#IND	0
K Q	483171	1.20793	96474.2	19.9669	1.92948	120172	0.30043	28831	23.9914	0.57662
K J	482274	1.20569	89530.5	18.5642	1.79061	120833	0.302083	27450	22.7173	0.549
K 10	482779	1.20695	84681.4	17.5404	1.69363	120843	0.302108	26762	22.1461	0.53524
K 9	482828	1.20707	72830.7	15.0842	1.45661	119993	0.299982	23565	19.6386	0.4713
K 8	483532	1.20883	64861.8	13.4142	1.29724	120571	0.301428	21984	18.2332	0.43968
K 7	481475	1.20369	62388.1	12.9577	1.24776	120531	0.301327	21644	17.9572	0.43288
K 6	482081	1.2052	59767.6	12.3978	1.19535	120272	0.30068	21006	17.4654	0.42012
K 5	482550	1.20638	57830.5	11.9843	1.15661	120250	0.300625	20622	17.1493	0.41244
K 4	481966	1.20492	56489.8	11.7207	1.1298	120048	0.30012	20215	16.8391	0.4043
K 3	482301	1.20575	55032.8	11.4105	1.10066	120780	0.30195	19510	16.1533	0.3902
K 2	482524	1.20631	53904.2	11.1713	1.07808	120387	0.300968	19121	15.8829	0.38242
Q Q	180257	0.450642	50993.8	28.2895	1.01988	0	0	0	-1.#IND	0
Q J	482550	1.20638	87295.7	18.0905	1.74591	120747	0.301868	26733	22.1397	0.53466
Q 10	484685	1.21171	83329.6	17.1925	1.66659	120953	0.302382	26014	21.5075	0.52028
Q 9	482835	1.20709	70674.3	14.6374	1.41349	120951	0.302377	22921	18.9506	0.45842
Q 8	481842	1.2046	62597.1	12.9912	1.25194	120302	0.300755	21209	17.6298	0.42418
Q 7	483495	1.20874	55907.3	11.5632	1.11815	121203	0.303008	19950	16.46	0.399
Q 6	482685	1.20671	54135.7	11.2155	1.08271	120208	0.30052	19443	16.1745	0.38886
Q 5	482694	1.20674	52712.9	10.9206	1.05426	120629	0.301573	19177	15.8975	0.38354
Q 4	482601	1.2065	50438.5	10.4514	1.00877	120190	0.300475	18661	15.5262	0.37322
Q 3	482711	1.20678	49474.6	10.2493	0.989492	120632	0.30158	18312	15.1801	0.36624
Q 2	481674	1.20419	48528.6	10.075	0.970572	120326	0.300815	17858	14.8413	0.35716
J J	180837	0.452092	44778.3	24.7617	0.895565	0	0	0	-1.#IND	0
J 10	483484	1.20871	82843.9	17.1348	1.65688	120957	0.302393	25923	21.4316	0.51846
J 9	482641	1.2066	70981.8	14.707	1.41964	120670	0.301675	23088	19.1332	0.46176
J 8	483778	1.20944	62866.6	12.9949	1.25733	121038	0.302595	21383	17.6664	0.42766
J 7	482329	1.20582	55769.3	11.5625	1.11539	120417	0.301042	19608	16.2834	0.39216
J 6	483110	1.20777	49328.7	10.2107	0.986574	120604	0.30151	18208	15.0973	0.36416
J 5	482533	1.20633	48702.6	10.0931	0.974053	120509	0.301273	18088	15.0097	0.36176
J 4	481667	1.20417	46853.4	9.72734	0.937068	120351	0.300878	17417	14.4718	0.34834
J 3	481354	1.20338	46053.5	9.56749	0.92107	120132	0.30033	17304	14.4042	0.34608
J 2	483296	1.20824	44751.2	9.25958	0.895023	120793	0.301982	16832	13.9346	0.33664
10 10	180711	0.451777	39309.4	21.7526	0.786187	0	0	0	-1.#IND	0
10 9	482351	1.20588	72607.3	15.0528	1.45215	120121	0.300303	23102	19.2323	0.46204
10 8	481764	1.20441	64430.5	13.3739	1.28861	120412	0.30103	21700	18.0215	0.434
10 7	482282	1.20571	56856.8	11.7891	1.13714	120515	0.301288	19836	16.4594	0.39672
10 6	481397	1.20349	50627.6	10.5168	1.01255	119999	0.299998	18330	15.2751	0.3666
10 5	482153	1.20538	45065.3	9.34669	0.901307	120261	0.300653	17014	14.1476	0.34028
10 4	482324	1.20581	44425.7	9.21076	0.888514	120674	0.301685	16987	14.0768	0.33974
10 3	482473	1.20618	43332.9	8.98142	0.866659	121203	0.303008	16587	13.6853	0.33174
10 2	482030	1.20508	41762.4	8.66387	0.835249	120680	0.3017	15994	13.2532	0.31988
9 9	180932	0.45233	35402.7	19.5668	0.708053	0	0	0	-1.#IND	0
9 8	483633	1.20908	63713.4	13.1739	1.27427	121120	0.3028	21232	17.5297	0.42464
9 7	483168	1.20792	57589.5	11.9191	1.15179	120925	0.302312	19574	16.1869	0.39148
9 6	482952	1.20738	51380.1	10.6388	1.0276	120521	0.301302	18224	15.121	0.36448
9 5	482295	1.20574	45786.2	9.49341	0.915724	120688	0.30172	17101	14.1696	0.34202
9 4	483081	1.2077	40061.7	8.29296	0.801234	120398	0.300995	15221	12.6422	0.30442
9 3	484527	1.21132	39635.9	8.18032	0.792717	120417	0.301042	15302	12.7075	0.30604
9 2	481825	1.20456	37938.1	7.87383	0.758761	121000	0.3025	14868	12.2876	0.29736
8 8	181411	0.453528	32153.4	17.7241	0.643069	0	0	0	-1.#IND	0
8 7	482896	1.20724	59259.9	12.2718	1.1852	120910	0.302275	20116	16.6372	0.40232
8 6	482079	1.2052	53435	11.0843	1.0687	121023	0.302557	18602	15.3706	0.37204
8 5	482159	1.2054	47933	9.94132	0.958659	120833	0.302083	17310	14.3256	0.3462
8 4	481735	1.20434	42142.7	8.74811	0.842854	120228	0.30057	15930	13.2498	0.3186
8 3	482656	1.20664	36667.4	7.59701	0.733348	120499	0.301248	14233	11.8117	0.28466
8 2	481152	1.20288	36414.9	7.56827	0.728297	120228	0.30057	14351	11.9365	0.28702
7 7	181044	0.45261	29490.5	16.2892	0.589811	0	0	0	-1.#IND	0
7 6	483263	1.20816	56162.3	11.6215	1.12325	120215	0.300537	19206	15.9764	0.38412
7 5	483012	1.20753	51078	10.5749	1.02156	120446	0.301115	17979	14.927	0.35958
7 4	483325	1.20831	44812.1	9.27162	0.896241	120908	0.30227	16560	13.6964	0.3312
7 3	482225	1.20556	39615.9	8.21524	0.792319	120805	0.302013	15299	12.6642	0.30598
7 2	483038	1.20759	34117.2	7.06305	0.682345	120717	0.301793	13647	11.305	0.27294
6 6	181451	0.453627	27829.2	15.337	0.556583	0	0	0	-1.#IND	0
6 5	482968	1.20742	53535.3	11.0847	1.07071	120382	0.300955	18446	15.3229	0.36892
6 4	482679	1.2067	48659.7	10.0812	0.973193	120868	0.30217	17466	14.4505	0.34932
6 3	482860	1.20715	42531.6	8.80827	0.850633	121105	0.302763	15733	12.9912	0.31466
6 2	483044	1.20761	37218.7	7.70503	0.744374	120908	0.30227	14348	11.8669	0.28696
5 5	180582	0.451455	26065	14.4339	0.5213	0	0	0	-1.#IND	0
5 4	482149	1.20537	51759.5	10.7352	1.03519	120783	0.301957	17952	14.863	0.35904
5 3	481971	1.20493	47248.7	9.80322	0.944974	120967	0.302417	16789	13.879	0.33578
5 2	483403	1.20851	41409.6	8.56626	0.828191	120652	0.30163	15092	12.5087	0.30184
4 4	180522	0.451305	25469	14.1085	0.50938	0	0	0	-1.#IND	0
4 3	483217	1.20804	44750.1	9.26087	0.895002	120654	0.301635	16007	13.2669	0.32014
4 2	483514	1.20879	40113.2	8.29619	0.802264	120909	0.302272	14708	12.1645	0.29416
3 3	180976	0.45244	24559.7	13.5707	0.491194	0	0	0	-1.#IND	0
3 2	483175	1.20794	37850.4	7.83369	0.757008	120599	0.301497	14064	11.6618	0.28128
2 2	181101	0.452753	24250.5	13.3906	0.485009	0	0	0	-1.#IND	0
