Num Players: 5
Num Rounds: 5000000
Num Hands: 25000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	4353548	17.4142	9570	0.1914
Pair	10960855	43.8434	980901	19.618
TwoPair	5870074	23.4803	1618654	32.3731
Set	1205538	4.82215	628497	12.5699
Straight	1154980	4.61992	749773	14.9955
Flush	760294	3.04118	490298	9.80596
FullHouse	647337	2.58935	479847	9.59694
Quads	41549	0.166196	36847	0.73694
StraighFlush	5233	0.020932	5035	0.1007
RoyalFlush	592	0.002368	578	0.01156

Straight when connector	7.49105
Flush when Suited 	6.54306

Set when pair up	32.527
Straight when three up	24.0091
Straight when four up	28.6773
Flush when three up	40.9667
Flush when four up	187.643
Full House when pair up	14.0433
Full House when set up	166.63
Full House when two pair up	82.8249
Quad when pair up	0.530079
Quad when set up	21.2017

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	113026	0.452104	63335.2	56.0359	1.2667	0	0	0	-1.#IND	0
A K	300983	1.20393	99776.9	33.1503	1.99554	75226	0.300904	27681	36.7971	0.55362
A Q	302158	1.20863	94358.6	31.2282	1.88717	75851	0.303404	26742	35.256	0.53484
A J	302038	1.20815	89535.2	29.6437	1.7907	75785	0.30314	25757	33.9869	0.51514
A 10	300854	1.20342	85003.8	28.2542	1.70008	74822	0.299288	24228	32.3809	0.48456
A 9	301386	1.20554	76816	25.4876	1.53632	75376	0.301504	22896	30.3757	0.45792
A 8	302735	1.21094	74224.5	24.518	1.48449	75631	0.302524	22155	29.2935	0.4431
A 7	301236	1.20494	70888.2	23.5325	1.41776	74996	0.299984	21513	28.6855	0.43026
A 6	302152	1.20861	67491.6	22.337	1.34983	75693	0.302772	20602	27.2178	0.41204
A 5	301837	1.20735	69524.7	23.0338	1.39049	75357	0.301428	21198	28.1301	0.42396
A 4	301332	1.20533	67134.8	22.2794	1.3427	75394	0.301576	20828	27.6255	0.41656
A 3	301873	1.20749	65245	21.6134	1.3049	75545	0.30218	20269	26.8304	0.40538
A 2	301442	1.20577	63195.9	20.9645	1.26392	75033	0.300132	19742	26.3111	0.39484
K K	113598	0.454392	56694	49.9076	1.13388	0	0	0	-1.#IND	0
K Q	301164	1.20466	90403.6	30.0181	1.80807	75513	0.302052	25506	33.777	0.51012
K J	301632	1.20653	86228.6	28.5873	1.72457	75584	0.302336	24714	32.6974	0.49428
K 10	300951	1.2038	81704	27.1486	1.63408	75338	0.301352	23711	31.4728	0.47422
K 9	300822	1.20329	73512.2	24.4371	1.47024	75322	0.301288	21769	28.9013	0.43538
K 8	301063	1.20425	66841.8	22.2019	1.33684	75739	0.302956	20297	26.7986	0.40594
K 7	301197	1.20479	64813.2	21.5185	1.29626	75526	0.302104	20038	26.5313	0.40076
K 6	302394	1.20958	62442.6	20.6494	1.24885	75782	0.303128	19448	25.6631	0.38896
K 5	302331	1.20932	60549.9	20.0277	1.211	75342	0.301368	19096	25.3458	0.38192
K 4	302400	1.2096	58522.2	19.3526	1.17044	75383	0.301532	18486	24.5228	0.36972
K 3	301428	1.20571	56627.4	18.7864	1.13255	75237	0.300948	18068	24.0148	0.36136
K 2	301355	1.20542	54842.9	18.1988	1.09686	75153	0.300612	17415	23.1727	0.3483
Q Q	112690	0.45076	50347.7	44.6781	1.00695	0	0	0	-1.#IND	0
Q J	301303	1.20521	83443.7	27.6943	1.66887	75169	0.300676	23672	31.4917	0.47344
Q 10	301689	1.20676	79888.8	26.4805	1.59778	75848	0.303392	23365	30.805	0.4673
Q 9	301613	1.20645	70972.6	23.531	1.41945	75596	0.302384	21158	27.9883	0.42316
Q 8	301872	1.20749	64971.1	21.5227	1.29942	75763	0.303052	19963	26.3493	0.39926
Q 7	301522	1.20609	58687	19.4636	1.17374	75341	0.301364	18142	24.0799	0.36284
Q 6	302517	1.21007	57419.4	18.9805	1.14839	75421	0.301684	17921	23.7613	0.35842
