Num Players: 4
Num Rounds: 5000000
Num Hands: 20000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	3484912	17.4246	31373	0.62746
Pair	8766308	43.8315	1206841	24.1368
TwoPair	4700226	23.5011	1689283	33.7857
Set	964064	4.82032	552073	11.0415
Straight	922992	4.61496	653440	13.0688
Flush	605839	3.0292	425775	8.5155
FullHouse	517855	2.58927	407195	8.1439
Quads	33115	0.165575	29482	0.58964
StraighFlush	4125	0.020625	3981	0.07962
RoyalFlush	564	0.00282	557	0.01114

Straight when connector	7.49501
Flush when Suited 	6.50064

Set when pair up	26.0416
Straight when three up	19.2066
Straight when four up	22.9567
Flush when three up	32.6617
Flush when four up	150.16
Full House when pair up	11.2366
Full House when set up	133.603
Full House when two pair up	66.3106
Quad when pair up	0.417455
Quad when set up	16.9198

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	90393	0.451965	57505.7	63.6175	1.15011	0	0	0	-1.#IND	0
A K	241613	1.20807	95127.3	39.3718	1.90255	60462	0.30231	25892	42.8236	0.51784
A Q	241333	1.20667	90565.2	37.5271	1.8113	60356	0.30178	24819	41.121	0.49638
A J	240502	1.20251	86707.3	36.0527	1.73415	60397	0.301985	24104	39.9093	0.48208
A 10	241909	1.20955	83743.4	34.6177	1.67487	60358	0.30179	23552	39.0205	0.47104
A 9	241297	1.20649	76973.3	31.8998	1.53947	60479	0.302395	21840	36.1117	0.4368
A 8	241187	1.20594	74201.7	30.7652	1.48403	60302	0.30151	21378	35.4516	0.42756
A 7	240056	1.20028	71753.7	29.8904	1.43507	60068	0.30034	20816	34.6541	0.41632
A 6	240955	1.20477	68472.7	28.4172	1.36945	60479	0.302395	20195	33.3918	0.4039
A 5	241526	1.20763	70016.3	28.9891	1.40033	60382	0.30191	20358	33.7153	0.40716
A 4	241162	1.20581	68000.1	28.1969	1.36	60337	0.301685	19989	33.1289	0.39978
A 3	241570	1.20785	65924.5	27.29	1.31849	60345	0.301725	19402	32.1518	0.38804
A 2	241154	1.20577	63784.5	26.4497	1.27569	60066	0.30033	18941	31.5336	0.37882
