A A	85.3739	73.3766	63.6175	56.0359	49.2824	43.5506	38.7167	34.491	31.0456	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
A K	65.9006	48.9336	39.3718	33.1503	28.5768	25.2036	22.4844	19.9896	17.9999	67.9477	51.8803	42.8236	36.7971	32.4738	29.0532	26.4273	23.7929	21.9413
A Q	64.9005	47.6149	37.5271	31.2282	26.6416	23.2648	20.4573	18.2479	16.3747	67.1982	50.983	41.121	35.256	30.5951	27.3161	24.7359	22.5955	20.6542
A J	63.9359	46.1784	36.0527	29.6437	25.137	21.8182	18.9644	16.9933	15.0898	66.0431	49.3482	39.9093	33.9869	29.528	26.228	23.6191	21.5799	19.6498
A 10	63.2775	44.9196	34.6177	28.2542	23.9389	20.5396	18.0743	15.905	14.3159	65.9384	48.4725	39.0205	32.3809	28.4096	25.1406	22.8342	20.8255	18.9649
A 9	61.0338	42.328	31.8998	25.4876	21.1208	17.9314	15.5777	13.6213	12.228	63.8561	46.2975	36.1117	30.3757	25.899	22.7906	20.447	18.3003	17.2031
A 8	60.2531	41.2883	30.7652	24.518	20.337	17.3245	14.9477	13.1375	11.637	63.4886	45.4091	35.4516	29.2935	25.3015	22.2623	19.8689	18.3022	16.6346
A 7	59.3776	40.077	29.8904	23.5325	19.4233	16.3744	14.1259	12.4436	11.097	62.924	44.2257	34.6541	28.6855	24.595	21.292	19.3136	17.4962	16.3008
A 6	58.1976	38.646	28.4172	22.337	18.3872	15.5921	13.5905	11.9374	10.5927	61.4771	43.4802	33.3918	27.2178	23.3061	20.7171	18.8689	17.0796	15.7786
A 5	58.3119	38.7882	28.9891	23.0338	19.144	16.4237	14.2281	12.5907	11.3138	61.8016	43.4719	33.7153	28.1301	24.479	21.6877	19.5316	17.8982	16.568
A 4	57.2926	38.2244	28.1969	22.2794	18.4368	15.8787	13.9287	12.2566	10.9877	60.8922	42.8712	33.1289	27.6255	23.7869	21.0712	19.3481	17.2707	16.1179
A 3	56.2008	36.9924	27.29	21.6134	18.0135	15.4255	13.4624	11.9647	10.7207	59.6196	41.8535	32.1518	26.8304	23.2119	20.4337	18.501	17.0289	15.8451
A 2	55.5161	36.1502	26.4497	20.9645	17.3328	14.9018	13.0437	11.5397	10.3886	59.571	40.7736	31.5336	26.3111	22.5306	20.0809	18.0211	16.7647	15.3684
K K	82.1908	68.7677	58.18	49.9076	42.9999	37.3547	32.7196	29.0057	26.17	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND	-1.#IND
K Q	62.0067	44.9634	36.103	30.0181	25.8382	22.553	19.9669	17.8982	15.8801	64.546	48.1687	39.819	33.777	29.781	26.4117	23.9914	21.9881	19.9007
K J	60.9156	43.8179	34.4364	28.5873	24.312	21.0351	18.5642	16.493	14.7724	63.8195	47.1991	38.4608	32.6974	28.4518	25.3818	22.7173	20.7347	19.1665
K 10	60.1204	42.6226	33.1918	27.1486	23.1362	20.022	17.5404	15.6214	13.9665	62.9825	46.3127	37.2959	31.4728	27.3005	24.4552	22.1461	20.119	18.7363
K 9	58.3915	40.085	30.4693	24.4371	20.3393	17.385	15.0842	13.2128	11.7679	61.5865	43.9426	34.6829	28.9013	24.7189	21.9888	19.6386	17.8593	16.4644
K 8	56.4502	37.865	28.0249	22.2019	18.3258	15.4825	13.4142	11.6615	10.4027	59.4804	41.7921	32.1609	26.7986	23.1441	20.2152	18.2332	16.4138	15.086
