Num Players: 9
Num Rounds: 5000000
Num Hands: 45000000

Hand type	# Hands		% of hands	# rounds won	% of rounds won
High		7829313		17.3985		34		0.00068
Pair		19712407	43.8053		469895		9.3979
TwoPair		10584188	23.5204		1228226		24.5645
Set		2175977		4.8355		835551		16.711
Straight	2079463		4.62103		1002857		20.0571
Flush		1361331		3.02518		673040		13.4608
FullHouse	1170642		2.60143		714163		14.2833
Quads		76077		0.16906		66191		1.32382
StraighFlush	9501		0.0211133	8955		0.1791
RoyalFlush	1101		0.00244667	1088		0.02176

Straight when connector	7.5126
Flush when Suited 	6.49793
Set when pair up	58.5993
Straight when three up	43.2499
Straight when four up	51.7196
Flush when three up	73.4044
Flush when four up	337.452
Full House when pair up	25.2614
Full House when set up	300.364
Full House when two pair up	149.284
Quad when pair up	0.960027
Quad when set up	38.4517

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	202955	0.451011	70001.1	34.491	1.40002	0	0	0	-1.#IND	0
A K	542919	1.20649	108527	19.9896	2.17055	135162	0.30036	32159	23.7929	0.64318
A Q	542816	1.20626	99052.5	18.2479	1.98105	135540	0.3012	30626	22.5955	0.61252
A J	543754	1.20834	92401.8	16.9933	1.84804	135728	0.301618	29290	21.5799	0.5858
A 10	542698	1.206	86315.9	15.905	1.72632	135195	0.300433	28155	20.8255	0.5631
A 9	544199	1.20933	74126.8	13.6213	1.48254	136424	0.303164	24966	18.3003	0.49932
A 8	543644	1.2081	71421.4	13.1375	1.42843	135880	0.301956	24869	18.3022	0.49738
A 7	543484	1.20774	67629.2	12.4436	1.35258	135652	0.301449	23734	17.4962	0.47468
A 6	542995	1.20666	64819.4	11.9374	1.29639	135319	0.300709	23112	17.0796	0.46224
A 5	541619	1.2036	68193.5	12.5907	1.36387	134734	0.299409	24115	17.8982	0.4823
A 4	542800	1.20622	66528.9	12.2566	1.33058	135391	0.300869	23383	17.2707	0.46766
A 3	543380	1.20751	65014	11.9647	1.30028	136368	0.30304	23222	17.0289	0.46444
