Num Players: 7
Num Rounds: 5000000
Num Hands: 35000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	6093390	17.4097	723	0.01446
Pair	15346066	43.8459	669982	13.3996
TwoPair	8217499	23.4786	1423654	28.4731
Set	1689096	4.82599	750659	15.0132
Straight	1617541	4.62155	897641	17.9528
Flush	1061390	3.03254	591686	11.8337
FullHouse	908291	2.59512	606484	12.1297
Quads	58503	0.167151	51325	1.0265
StraighFlush	7342	0.0209771	6992	0.13984
RoyalFlush	882	0.00252	854	0.01708

Straight when connector	7.50244
Flush when Suited 	6.52022

Set when pair up	45.559
Straight when three up	33.6358
Straight when four up	40.2298
Flush when three up	57.2209
Flush when four up	262.452
Full House when pair up	19.7023
Full House when set up	233.955
Full House when two pair up	115.903
Quad when pair up	0.744857
Quad when set up	29.8557

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	158175	0.451929	68886.2	43.5506	1.37772	0	0	0	-1.#IND	0
A K	422222	1.20635	106415	25.2036	2.1283	106095	0.303129	30824	29.0532	0.61648
A Q	422400	1.20686	98270.3	23.2648	1.96541	105403	0.301151	28792	27.3161	0.57584
A J	422979	1.20851	92286.3	21.8182	1.84573	106272	0.303634	27873	26.228	0.55746
A 10	421962	1.20561	86669.2	20.5396	1.73338	105940	0.302686	26634	25.1406	0.53268
A 9	422797	1.20799	75813.4	17.9314	1.51627	105561	0.301603	24058	22.7906	0.48116
A 8	422457	1.20702	73188.7	17.3245	1.46377	105461	0.301317	23478	22.2623	0.46956
A 7	423081	1.2088	69276.9	16.3744	1.38554	105298	0.300851	22420	21.292	0.4484
A 6	422844	1.20813	65930.1	15.5921	1.3186	105594	0.301697	21876	20.7171	0.43752
A 5	421615	1.20461	69245	16.4237	1.3849	106014	0.302897	22992	21.6877	0.45984
A 4	421732	1.20495	66965.4	15.8787	1.33931	105319	0.300911	22192	21.0712	0.44384
A 3	422067	1.20591	65105.9	15.4255	1.30212	105282	0.300806	21513	20.4337	0.43026
A 2	422943	1.20841	63026.2	14.9018	1.26052	105528	0.301509	21191	20.0809	0.42382
K K	157789	0.450826	58941.6	37.3547	1.17883	0	0	0	-1.#IND	0
K Q	423027	1.20865	95405.3	22.553	1.90811	106150	0.303286	28036	26.4117	0.56072
K J	422393	1.20684	88850.7	21.0351	1.77701	105749	0.30214	26841	25.3818	0.53682
K 10	422375	1.20679	84568.1	20.022	1.69136	105953	0.302723	25911	24.4552	0.51822
K 9	421009	1.20288	73192.5	17.385	1.46385	105431	0.301231	23183	21.9888	0.46366
K 8	422391	1.20683	65396.5	15.4825	1.30793	106113	0.30318	21451	20.2152	0.42902
K 7	423800	1.21086	63394.7	14.9586	1.26789	105767	0.302191	21020	19.8739	0.4204
K 6	422665	1.20761	60880.5	14.404	1.21761	105441	0.30126	20423	19.3691	0.40846
K 5	422659	1.2076	58701.9	13.8887	1.17404	104948	0.299851	20049	19.1037	0.40098
K 4	422590	1.2074	57011.5	13.491	1.14023	105331	0.300946	19528	18.5397	0.39056
K 3	422289	1.20654	55491	13.1405	1.10982	105286	0.300817	19340	18.369	0.3868
K 2	420589	1.20168	53855.2	12.8047	1.0771	105335	0.300957	18582	17.6409	0.37164
Q Q	158505	0.452871	51597	32.5523	1.03194	0	0	0	-1.#IND	0
Q J	422754	1.20787	87030.2	20.5865	1.7406	105644	0.30184	26270	24.8665	0.5254
Q 10	420678	1.20194	81786.3	19.4416	1.63573	105181	0.300517	25065	23.8303	0.5013
Q 9	423324	1.2095	71120.4	16.8005	1.42241	105591	0.301689	22376	21.1912	0.44752
Q 8	421659	1.20474	63285	15.0086	1.2657	105809	0.302311	20932	19.7828	0.41864
Q 7	421688	1.20482	56282.3	13.3469	1.12565	105447	0.301277	18885	17.9095	0.3777
Q 6	421351	1.20386	55282.2	13.1202	1.10564	105272	0.300777	19124	18.1663	0.38248
Q 5	420908	1.20259	53516.4	12.7145	1.07033	105669	0.301911	18628	17.6286	0.37256
Q 4	421576	1.2045	51962.4	12.3257	1.03925	105165	0.300471	17962	17.0798	0.35924
Q 3	422088	1.20597	50263.1	11.9082	1.00526	105931	0.30266	17704	16.7128	0.35408
Q 2	422996	1.20856	48695.6	11.5121	0.973913	106371	0.303917	17401	16.3588	0.34802
J J	158739	0.45354	45194.6	28.471	0.903892	0	0	0	-1.#IND	0
J 10	422260	1.20646	82024.8	19.4252	1.6405	105383	0.301094	24924	23.6509	0.49848
J 9	421713	1.20489	70503.4	16.7183	1.41007	105034	0.300097	22249	21.1827	0.44498
J 8	421710	1.20489	63064.3	14.9544	1.26129	105505	0.301443	20567	19.4939	0.41134
J 7	421853	1.20529	56678.4	13.4356	1.13357	105156	0.300446	19073	18.1378	0.38146
J 6	422296	1.20656	50312	11.9139	1.00624	105312	0.300891	17443	16.5632	0.34886
J 5	421875	1.20536	49087.2	11.6355	0.981744	105522	0.301491	17356	16.4478	0.34712
J 4	422456	1.20702	47994.6	11.3609	0.959892	106095	0.303129	17256	16.2647	0.34512
J 3	423396	1.2097	46543.9	10.993	0.930878	105447	0.301277	16690	15.8279	0.3338
J 2	422852	1.20815	44884.4	10.6147	0.897688	105627	0.301791	16189	15.3266	0.32378
10 10	158866	0.453903	40126.4	25.258	0.802528	0	0	0	-1.#IND	0
10 9	422358	1.20674	72198.4	17.0941	1.44397	105424	0.301211	22703	21.5349	0.45406
10 8	423017	1.20862	64116.2	15.1569	1.28232	105596	0.301703	20805	19.7025	0.4161
10 7	422383	1.20681	57417	13.5936	1.14834	105514	0.301469	19164	18.1625	0.38328
10 6	421977	1.20565	51110.1	12.112	1.0222	105155	0.300443	17897	17.0196	0.35794
10 5	422670	1.20763	45546.9	10.776	0.910938	105410	0.301171	16358	15.5185	0.32716
10 4	421904	1.20544	44932.2	10.6499	0.898643	105724	0.302069	16340	15.4553	0.3268
10 3	422155	1.20616	43354.7	10.2699	0.867094	105658	0.30188	15842	14.9937	0.31684
10 2	422880	1.20823	42207.5	9.98096	0.84415	105575	0.301643	15574	14.7516	0.31148
9 9	158467	0.452763	35530.9	22.4216	0.710617	0	0	0	-1.#IND	0
9 8	422951	1.20843	63910.8	15.1107	1.27822	105755	0.302157	20590	19.4695	0.4118
9 7	422165	1.20619	57523.4	13.6258	1.15047	105662	0.301891	19035	18.015	0.3807
9 6	422159	1.20617	51536.3	12.2078	1.03073	105960	0.302743	17802	16.8007	0.35604
9 5	422308	1.20659	46184.1	10.9361	0.923682	105672	0.30192	16589	15.6986	0.33178
