Num Players: 6
Num Rounds: 5000000
Num Hands: 30000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	5225039	17.4168	2617	0.05234
Pair	13145585	43.8186	807221	16.1444
TwoPair	7044991	23.4833	1524446	30.4889
Set	1449650	4.83217	694968	13.8994
Straight	1387296	4.62432	829775	16.5955
Flush	910549	3.03516	542743	10.8549
FullHouse	779571	2.59857	546961	10.9392
Quads	50299	0.167663	44504	0.89008
StraighFlush	6290	0.0209667	6047	0.12094
RoyalFlush	730	0.00243333	718	0.01436

Straight when connector	7.49269
Flush when Suited 	6.51098

Set when pair up	39.0846
Straight when three up	28.8715
Straight when four up	34.5207
Flush when three up	49.0884
Flush when four up	225.451
Full House when pair up	16.9289
Full House when set up	200.045
Full House when two pair up	99.4457
Quad when pair up	0.650879
Quad when set up	25.612

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	135591	0.45197	66822.5	49.2824	1.33645	0	0	0	-1.#IND	0
A K	362834	1.20945	103686	28.5768	2.07372	90784	0.302613	29481	32.4738	0.58962
A Q	362937	1.20979	96692.2	26.6416	1.93384	90642	0.30214	27732	30.5951	0.55464
A J	362225	1.20742	91052.4	25.137	1.82105	89813	0.299377	26520	29.528	0.5304
A 10	362256	1.20752	86719.9	23.9389	1.7344	90913	0.303043	25828	28.4096	0.51656
A 9	362482	1.20827	76559.2	21.1208	1.53118	90521	0.301737	23444	25.899	0.46888
A 8	361640	1.20547	73546.8	20.337	1.47094	90722	0.302407	22954	25.3015	0.45908
A 7	361761	1.20587	70265.9	19.4233	1.40532	90433	0.301443	22242	24.595	0.44484
A 6	363106	1.21035	66764.9	18.3872	1.3353	90444	0.30148	21079	23.3061	0.42158
A 5	361835	1.20612	69269.7	19.144	1.38539	90494	0.301647	22152	24.479	0.44304
A 4	362485	1.20828	66830.7	18.4368	1.33661	90819	0.30273	21603	23.7869	0.43206
A 3	362509	1.20836	65300.6	18.0135	1.30601	90919	0.303063	21104	23.2119	0.42208
A 2	362458	1.20819	62824.1	17.3328	1.25648	90557	0.301857	20403	22.5306	0.40806
K K	135250	0.450833	58157.4	42.9999	1.16315	0	0	0	-1.#IND	0
K Q	361509	1.20503	93407.5	25.8382	1.86815	90383	0.301277	26917	29.781	0.53834
K J	361625	1.20542	87918.3	24.312	1.75837	90641	0.302137	25789	28.4518	0.51578
K 10	361745	1.20582	83694.1	23.1362	1.67388	90731	0.302437	24770	27.3005	0.4954
K 9	361664	1.20555	73560.1	20.3393	1.4712	90813	0.30271	22448	24.7189	0.44896
K 8	361643	1.20548	66273.9	18.3258	1.32548	90736	0.302453	21000	23.1441	0.42
K 7	361023	1.20341	63882.7	17.6949	1.27765	90385	0.301283	20423	22.5956	0.40846
K 6	361392	1.20464	61542.7	17.0293	1.23085	90715	0.302383	20037	22.0879	0.40074
K 5	362943	1.20981	59550.7	16.4077	1.19101	90685	0.302283	19379	21.3696	0.38758
K 4	362808	1.20936	57478.5	15.8427	1.14957	90443	0.301477	18832	20.822	0.37664
K 3	362147	1.20716	56017.4	15.4681	1.12035	90785	0.302617	18544	20.4263	0.37088
K 2	361579	1.20526	54423.5	15.0516	1.08847	90947	0.303157	18187	19.9974	0.36374
Q Q	135199	0.450663	51016.9	37.7347	1.02034	0	0	0	-1.#IND	0
Q J	362335	1.20778	85623.1	23.6309	1.71246	91070	0.303567	25302	27.783	0.50604
Q 10	362390	1.20797	81597.4	22.5165	1.63195	90366	0.30122	24104	26.6737	0.48208
Q 9	361682	1.20561	71576.4	19.7899	1.43153	90616	0.302053	21756	24.009	0.43512
Q 8	362675	1.20892	64694.8	17.8382	1.2939	90328	0.301093	20445	22.6342	0.4089
Q 7	360835	1.20278	57830.4	16.0268	1.15661	90646	0.302153	18712	20.6429	0.37424
Q 6	362069	1.2069	56448.6	15.5906	1.12897	90577	0.301923	18552	20.482	0.37104
Q 5	363490	1.21163	54589.1	15.018	1.09178	90373	0.301243	18294	20.2428	0.36588
Q 4	361938	1.20646	52034.6	14.3767	1.04069	90398	0.301327	17613	19.4838	0.35226
Q 3	361167	1.20389	50444.9	13.9672	1.0089	89870	0.299567	16842	18.7404	0.33684
Q 2	361470	1.2049	48815.7	13.5048	0.976315	90167	0.300557	16486	18.2839	0.32972
J J	135719	0.452397	45683.1	33.66	0.913661	0	0	0	-1.#IND	0
J 10	362489	1.2083	80957.2	22.3337	1.61914	90668	0.302227	24119	26.6014	0.48238
J 9	362785	1.20928	70970.2	19.5626	1.4194	90513	0.30171	21704	23.9789	0.43408
J 8	361760	1.20587	63584.8	17.5765	1.2717	90533	0.301777	19974	22.0627	0.39948
J 7	361946	1.20649	57090.9	15.7733	1.14182	90899	0.302997	18543	20.3996	0.37086
J 6	362036	1.20679	51427.3	14.205	1.02855	90890	0.302967	17384	19.1264	0.34768
J 5	362419	1.20806	50506.2	13.9359	1.01012	90862	0.302873	17154	18.8792	0.34308
J 4	363000	1.21	48622.3	13.3946	0.972445	91149	0.30383	16797	18.4281	0.33594
J 3	362479	1.20826	47248.3	13.0348	0.944966	90521	0.301737	16359	18.0721	0.32718
J 2	362045	1.20682	45842.2	12.662	0.916845	90501	0.30167	15933	17.6053	0.31866
10 10	135578	0.451927	40551.7	29.9102	0.811033	0	0	0	-1.#IND	0
10 9	362205	1.20735	71564.4	19.758	1.43129	90634	0.302113	21582	23.8123	0.43164
10 8	361596	1.20532	64114.4	17.7309	1.28229	90857	0.302857	20173	22.203	0.40346
10 7	361343	1.20448	57525.9	15.92	1.15052	90608	0.302027	18650	20.5832	0.373
10 6	362304	1.20768	51987.4	14.3491	1.03975	90631	0.302103	17255	19.0387	0.3451
10 5	361695	1.20565	46885.4	12.9627	0.937707	90258	0.30086	16059	17.7923	0.32118
10 4	361293	1.20431	45726.5	12.6563	0.91453	90152	0.300507	15829	17.5581	0.31658
10 3	361285	1.20428	43532.3	12.0493	0.870646	90292	0.300973	15158	16.7878	0.30316
10 2	361216	1.20405	42199.7	11.6827	0.843994	90171	0.30057	14859	16.4787	0.29718
9 9	135566	0.451887	36171.8	26.6821	0.723436	0	0	0	-1.#IND	0
9 8	361604	1.20535	63033.2	17.4316	1.26066	90189	0.30063	19537	21.6623	0.39074
9 7	361878	1.20626	57509.3	15.8919	1.15019	90454	0.301513	18342	20.2777	0.36684
9 6	362055	1.20685	52003	14.3633	1.04006	90682	0.302273	17099	18.856	0.34198
9 5	360985	1.20328	46599	12.9089	0.931981	89900	0.299667	15906	17.693	0.31812
9 4	361797	1.20599	41500.2	11.4706	0.830005	90505	0.301683	14480	15.9991	0.2896
9 3	361686	1.20562	40113	11.0906	0.802261	90493	0.301643	14219	15.7128	0.28438
9 2	362109	1.20703	39498.6	10.9079	0.789972	90197	0.300657	14075	15.6047	0.2815
8 8	136524	0.45508	32841	24.0551	0.656821	0	0	0	-1.#IND	0
8 7	362168	1.20723	58231.5	16.0786	1.16463	90847	0.302823	18698	20.5819	0.37396
8 6	361828	1.20609	53846.5	14.8818	1.07693	90589	0.301963	17631	19.4626	0.35262
8 5	361911	1.20637	48021.7	13.2689	0.960434	90260	0.300867	16006	17.7332	0.32012
8 4	362026	1.20675	42841.9	11.8339	0.856837	90246	0.30082	15013	16.6356	0.30026
8 3	361578	1.20526	37946.8	10.4948	0.758936	90271	0.300903	13676	15.1499	0.27352
8 2	362150	1.20717	37008.4	10.2191	0.740168	90686	0.302287	13431	14.8104	0.26862
7 7	135939	0.45313	29326.9	21.5735	0.586537	0	0	0	-1.#IND	0
7 6	361020	1.2034	53952.1	14.9443	1.07904	90424	0.301413	17418	19.2626	0.34836
7 5	361839	1.20613	49826.3	13.7703	0.996527	90433	0.301443	16487	18.2312	0.32974
7 4	361477	1.20492	44632.6	12.3473	0.892651	90038	0.300127	15100	16.7707	0.302
7 3	362809	1.20936	40221.7	11.0862	0.804434	90193	0.300643	14108	15.642	0.28216
7 2	361239	1.20413	34593.3	9.57628	0.691865	90158	0.300527	12420	13.7758	0.2484
6 6	136452	0.45484	27430	20.1023	0.5486	0	0	0	-1.#IND	0
6 5	362464	1.20821	51338.6	14.1638	1.02677	90576	0.30192	16728	18.4685	0.33456
6 4	363171	1.21057	47373.8	13.0445	0.947477	90868	0.302893	15983	17.5893	0.31966
6 3	361732	1.20577	41293.1	11.4154	0.825863	90369	0.30123	14422	15.959	0.28844
6 2	362205	1.20735	36836.2	10.17	0.736724	90557	0.301857	13190	14.5654	0.2638
