Num Players: 10
Num Rounds: 5000000
Num Hands: 50000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	8712275	17.4245	5	0.0001
Pair	21905907	43.8118	395164	7.90328
TwoPair	11747537	23.4951	1137806	22.7561
Set	2412863	4.82573	865202	17.304
Straight	2310917	4.62183	1044994	20.8999
Flush	1517432	3.03486	712121	14.2424
FullHouse	1296572	2.59314	760210	15.2042
Quads	84818	0.169636	73405	1.4681
StraighFlush	10471	0.020942	9905	0.1981
RoyalFlush	1208	0.002416	1188	0.02376

Straight when connector	7.50805
Flush when Suited 	6.5193

Set when pair up	65.0743
Straight when three up	48.0784
Straight when four up	57.4987
Flush when three up	81.8116
Flush when four up	374.86
Full House when pair up	28.1264
Full House when set up	333.901
Full House when two pair up	165.466
Quad when pair up	1.07664
Quad when set up	42.7548

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	226053	0.452106	70179.5	31.0456	1.40359	0	0	0	-1.#IND	0
A K	604581	1.20916	108824	17.9999	2.17647	151732	0.303464	33292	21.9413	0.66584
A Q	603823	1.20765	98874.1	16.3747	1.97748	151001	0.302002	31188	20.6542	0.62376
A J	603930	1.20786	91131.9	15.0898	1.82264	151620	0.30324	29793	19.6498	0.59586
A 10	602775	1.20555	86292.8	14.3159	1.72586	149982	0.299964	28444	18.9649	0.56888
A 9	600795	1.20159	73465.4	12.228	1.46931	149589	0.299178	25734	17.2031	0.51468
A 8	603644	1.20729	70246.3	11.637	1.40493	150500	0.301	25035	16.6346	0.5007
A 7	603279	1.20656	66945.6	11.097	1.33891	150238	0.300476	24490	16.3008	0.4898
A 6	604286	1.20857	64010.5	10.5927	1.28021	150926	0.301852	23814	15.7786	0.47628
A 5	604342	1.20868	68374.3	11.3138	1.36749	151225	0.30245	25055	16.568	0.5011
A 4	603257	1.20651	66284.1	10.9877	1.32568	151074	0.302148	24350	16.1179	0.487
A 3	603768	1.20754	64728	10.7207	1.29456	150848	0.301696	23902	15.8451	0.47804
A 2	601374	1.20275	62474.4	10.3886	1.24949	150250	0.3005	23091	15.3684	0.46182
K K	226285	0.45257	59218.7	26.17	1.18437	0	0	0	-1.#IND	0
K Q	603165	1.20633	95783.2	15.8801	1.91566	150683	0.301366	29987	19.9007	0.59974
K J	602799	1.2056	89048.2	14.7724	1.78096	151577	0.303154	29052	19.1665	0.58104
K 10	603475	1.20695	84284.1	13.9665	1.68568	151487	0.302974	28383	18.7363	0.56766
K 9	603727	1.20745	71045.9	11.7679	1.42092	150986	0.301972	24859	16.4644	0.49718
K 8	603785	1.20757	62810.2	10.4027	1.2562	150782	0.301564	22747	15.086	0.45494
K 7	604416	1.20883	60889.5	10.0741	1.21779	151585	0.30317	22640	14.9355	0.4528
K 6	602631	1.20526	58192	9.65633	1.16384	150479	0.300958	22097	14.6844	0.44194
K 5	603598	1.2072	56811	9.41207	1.13622	151193	0.302386	21714	14.3618	0.43428
K 4	604595	1.20919	55644.9	9.20367	1.1129	150790	0.30158	21486	14.249	0.42972
K 3	603928	1.20786	54368.2	9.00244	1.08736	150401	0.300802	20971	13.9434	0.41942
K 2	602147	1.20429	52985.9	8.79949	1.05972	149837	0.299674	20093	13.4099	0.40186
Q Q	226042	0.452084	50136.9	22.1804	1.00274	0	0	0	-1.#IND	0
Q J	604414	1.20883	88225.6	14.5969	1.76451	151374	0.302748	28584	18.883	0.57168
Q 10	603596	1.20719	83167.5	13.7787	1.66335	150870	0.30174	27386	18.1521	0.54772
Q 9	602366	1.20473	69274.2	11.5004	1.38548	150136	0.300272	24131	16.0728	0.48262
Q 8	602895	1.20579	61139.7	10.141	1.22279	150152	0.300304	22381	14.9056	0.44762
Q 7	604648	1.2093	54434.7	9.0027	1.08869	151329	0.302658	20530	13.5665	0.4106
Q 6	603529	1.20706	52600	8.7154	1.052	150720	0.30144	20373	13.5171	0.40746
Q 5	602468	1.20494	51195.8	8.49768	1.02392	150761	0.301522	19937	13.2242	0.39874
Q 4	603061	1.20612	50485.9	8.3716	1.00972	150588	0.301176	19865	13.1916	0.3973
Q 3	603131	1.20626	48858.3	8.10078	0.977167	151439	0.302878	19533	12.8983	0.39066
Q 2	602910	1.20582	47828	7.93287	0.956561	150800	0.3016	18946	12.5637	0.37892
J J	226204	0.452408	43682.1	19.311	0.873643	0	0	0	-1.#IND	0
J 10	601836	1.20367	84516.1	14.043	1.69032	150321	0.300642	27771	18.4745	0.55542
J 9	604217	1.20843	70640.2	11.6912	1.4128	151462	0.302924	24527	16.1935	0.49054
J 8	603430	1.20686	61925.5	10.2622	1.23851	151119	0.302238	22588	14.9472	0.45176
J 7	604909	1.20982	54696	9.04202	1.09392	151394	0.302788	20989	13.8638	0.41978
J 6	604363	1.20873	48285.3	7.98945	0.965706	150514	0.301028	19120	12.7031	0.3824
J 5	602604	1.20521	47586.2	7.89676	0.951724	151052	0.302104	19175	12.6943	0.3835
J 4	603256	1.20651	45979.3	7.62185	0.919586	150313	0.300626	18513	12.3163	0.37026
J 3	602888	1.20578	45162.1	7.49095	0.903241	150161	0.300322	18038	12.0124	0.36076
J 2	602788	1.20558	43684.6	7.24708	0.873691	150985	0.30197	17780	11.776	0.3556
10 10	226341	0.452682	39054.1	17.2546	0.781083	0	0	0	-1.#IND	0
10 9	602581	1.20516	73373.2	12.1765	1.46746	150646	0.301292	24802	16.4638	0.49604
10 8	603153	1.20631	64364.5	10.6713	1.28729	150864	0.301728	22763	15.0884	0.45526
10 7	603032	1.20606	56639.8	9.3925	1.1328	150675	0.30135	21023	13.9525	0.42046
10 6	603009	1.20602	50063.6	8.3023	1.00127	150200	0.3004	19590	13.0426	0.3918
10 5	603177	1.20635	44094.5	7.31038	0.881891	150773	0.301546	18171	12.0519	0.36342
10 4	604364	1.20873	43904.6	7.2646	0.878092	151032	0.302064	17908	11.8571	0.35816
10 3	602119	1.20424	42296.9	7.02468	0.845939	150395	0.30079	17392	11.5642	0.34784
10 2	604450	1.2089	41329.5	6.83753	0.826589	151492	0.302984	17212	11.3617	0.34424
9 9	226216	0.452432	35258.5	15.5862	0.70517	0	0	0	-1.#IND	0
9 8	603514	1.20703	64827.8	10.7417	1.29656	150832	0.301664	22533	14.9391	0.45066
9 7	604663	1.20933	58114.3	9.61102	1.16229	151529	0.303058	21077	13.9095	0.42154
9 6	604262	1.20852	51734.5	8.56159	1.03469	150871	0.301742	19518	12.9369	0.39036
9 5	602976	1.20595	45163	7.49002	0.903261	150231	0.300462	18125	12.0648	0.3625
9 4	603160	1.20632	39245.6	6.50666	0.784912	150809	0.301618	16363	10.8501	0.32726
9 3	603302	1.2066	38850.8	6.43969	0.777016	150915	0.30183	16261	10.7749	0.32522
9 2	604384	1.20877	38231.8	6.32575	0.764637	151484	0.302968	16025	10.5787	0.3205
8 8	225778	0.451556	32804.9	14.5297	0.656098	0	0	0	-1.#IND	0
8 7	603495	1.20699	60990	10.1061	1.2198	151307	0.302614	21478	14.195	0.42956
8 6	602496	1.20499	54677.9	9.07523	1.09356	150639	0.301278	20100	13.3432	0.402
8 5	602849	1.2057	48670.8	8.07346	0.973416	150704	0.301408	18779	12.4609	0.37558
8 4	603072	1.20614	42146.8	6.98869	0.842936	150942	0.301884	16943	11.2248	0.33886
8 3	603201	1.2064	36404.8	6.03527	0.728096	151152	0.302304	15260	10.0958	0.3052
8 2	604551	1.2091	36029	5.95963	0.72058	150585	0.30117	15151	10.0614	0.30302
