Num Players: 3
Num Rounds: 5000000
Num Hands: 15000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	2610921	17.4061	98399	1.96798
Pair	6576371	43.8425	1499054	29.9811
TwoPair	3525742	23.5049	1696611	33.9322
Set	723263	4.82175	462129	9.24258
Straight	691950	4.613	539023	10.7805
Flush	453815	3.02543	352182	7.04364
FullHouse	389240	2.59493	326389	6.52778
Quads	25218	0.16812	22791	0.45582
StraighFlush	3113	0.0207533	3060	0.0612
RoyalFlush	367	0.00244667	362	0.00724

Straight when connector	7.46958
Flush when Suited 	6.4983

Set when pair up	19.5401
Straight when three up	14.3821
Straight when four up	17.2001
Flush when three up	24.4504
Flush when four up	112.093
Full House when pair up	8.41623
Full House when set up	100.658
Full House when two pair up	49.8581
Quad when pair up	0.328722
Quad when set up	12.7385

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	67958	0.453053	49865.2	73.3766	0.997305	0	0	0	-1.#IND	0
A K	180903	1.20602	88522.4	48.9336	1.77045	45125	0.300833	23411	51.8803	0.46822
A Q	180800	1.20533	86087.8	47.6149	1.72176	45117	0.30078	23002	50.983	0.46004
A J	181507	1.21005	83817	46.1784	1.67634	45487	0.303247	22447	49.3482	0.44894
A 10	181212	1.20808	81399.6	44.9196	1.62799	45302	0.302013	21959	48.4725	0.43918
A 9	181832	1.21221	76965.8	42.328	1.53932	45564	0.30376	21095	46.2975	0.4219
A 8	181648	1.21099	74999.4	41.2883	1.49999	45427	0.302847	20628	45.4091	0.41256
A 7	180731	1.20487	72431.6	40.077	1.44863	45105	0.3007	19948	44.2257	0.39896
A 6	180414	1.20276	69722.9	38.646	1.39446	45009	0.30006	19570	43.4802	0.3914
A 5	181078	1.20719	70237	38.7882	1.40474	45480	0.3032	19771	43.4719	0.39542
A 4	181273	1.20849	69290.5	38.2244	1.38581	45576	0.30384	19539	42.8712	0.39078
A 3	180615	1.2041	66813.8	36.9924	1.33628	45007	0.300047	18837	41.8535	0.37674
A 2	180879	1.20586	65388.1	36.1502	1.30776	45267	0.30178	18457	40.7736	0.36914
K K	67529	0.450193	46438.1	68.7677	0.928762	0	0	0	-1.#IND	0
