Num Players: 9
Num Rounds: 5000000
Num Hands: 45000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	7829313	17.3985	34	0.00068
Pair	19712407	43.8053	469895	9.3979
TwoPair	10584188	23.5204	1228226	24.5645
Set	2175977	4.8355	835551	16.711
Straight	2079463	4.62103	1002857	20.0571
Flush	1361331	3.02518	673040	13.4608
FullHouse	1170642	2.60143	714163	14.2833
Quads	76077	0.16906	66191	1.32382
StraighFlush	9501	0.0211133	8955	0.1791
RoyalFlush	1101	0.00244667	1088	0.02176

Straight when connector	7.5126
Flush when Suited 	6.49793

Set when pair up	58.5993
Straight when three up	43.2499
Straight when four up	51.7196
Flush when three up	73.4044
Flush when four up	337.452
Full House when pair up	25.2614
Full House when set up	300.364
Full House when two pair up	149.284
Quad when pair up	0.960027
Quad when set up	38.4517

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	202955	0.451011	70015.1	34.4978	1.4003	0	0	0	-1.#IND	0
A K	542919	1.20649	108468	19.9787	2.16937	135162	0.30036	32149	23.7855	0.64298
A Q	542816	1.20626	98993.9	18.2371	1.97988	135540	0.3012	30618	22.5896	0.61236
A J	543754	1.20834	92338.3	16.9816	1.84677	135728	0.301618	29279	21.5718	0.58558
A 10	542698	1.206	86249.8	15.8928	1.725	135195	0.300433	28150	20.8218	0.563
A 9	544199	1.20933	74056.2	13.6083	1.48112	136424	0.303164	24957	18.2937	0.49914
A 8	543644	1.2081	71355.4	13.1254	1.42711	135880	0.301956	24858	18.2941	0.49716
A 7	543484	1.20774	67564.3	12.4317	1.35129	135652	0.301449	23725	17.4896	0.4745
A 6	542995	1.20666	64749.7	11.9245	1.29499	135319	0.300709	23106	17.0752	0.46212
A 5	541619	1.2036	68122.6	12.5776	1.36245	134734	0.299409	24106	17.8916	0.48212
A 4	542800	1.20622	66475.3	12.2467	1.32951	135391	0.300869	23379	17.2678	0.46758
A 3	543380	1.20751	64954.6	11.9538	1.29909	136368	0.30304	23218	17.026	0.46436
A 2	541981	1.2044	62480.5	11.5282	1.24961	135332	0.300738	22680	16.7588	0.4536
K K	203313	0.451807	59014.2	29.0263	1.18028	0	0	0	-1.#IND	0
K Q	543433	1.20763	97265.7	17.8984	1.94531	135969	0.302153	29915	22.0013	0.5983
K J	543179	1.20706	89585	16.4927	1.7917	135970	0.302156	28210	20.7472	0.5642
K 10	543747	1.20833	84933.5	15.62	1.69867	136448	0.303218	27463	20.1271	0.54926
K 9	541891	1.2042	71597.6	13.2125	1.43195	135694	0.301542	24250	17.8711	0.485
K 8	543287	1.2073	63356.5	11.6617	1.26713	135130	0.300289	22196	16.4257	0.44392
K 7	542394	1.20532	61367.9	11.3143	1.22736	135873	0.30194	22107	16.2703	0.44214
K 6	543374	1.2075	59418.9	10.9352	1.18838	136052	0.302338	21705	15.9535	0.4341
K 5	543247	1.20722	57534.7	10.5909	1.15069	136055	0.302344	21266	15.6304	0.42532
K 4	542888	1.20642	55676.8	10.2557	1.11354	135975	0.302167	20706	15.2278	0.41412
K 3	542706	1.20601	54453.1	10.0336	1.08906	135873	0.30194	20374	14.9949	0.40748
K 2	543140	1.20698	53534.3	9.85645	1.07069	136320	0.302933	19920	14.6127	0.3984
Q Q	203519	0.452264	50779.5	24.9508	1.01559	0	0	0	-1.#IND	0
Q J	544727	1.2105	88202.5	16.1921	1.76405	136383	0.303073	27982	20.5172	0.55964
Q 10	543347	1.20744	82889.3	15.2553	1.65779	136025	0.302278	27146	19.9566	0.54292
Q 9	542161	1.2048	69892.2	12.8914	1.39784	135536	0.301191	23563	17.385	0.47126
Q 8	542790	1.2062	62346.4	11.4863	1.24693	136043	0.302318	21917	16.1103	0.43834
Q 7	542762	1.20614	54862.1	10.108	1.09724	135665	0.301478	20150	14.8528	0.403
Q 6	542980	1.20662	53397.1	9.83409	1.06794	135456	0.301013	19855	14.6579	0.3971
Q 5	542633	1.20585	52010	9.58474	1.0402	136195	0.302656	19789	14.5299	0.39578
Q 4	541092	1.20243	50064.6	9.25251	1.00129	135057	0.300127	19036	14.0948	0.38072
Q 3	543409	1.20758	49117.5	9.03877	0.98235	136060	0.302356	18742	13.7748	0.37484
Q 2	542195	1.20488	47959.2	8.84538	0.959184	135774	0.30172	18358	13.521	0.36716
J J	203611	0.452469	44337	21.7753	0.88674	0	0	0	-1.#IND	0
J 10	542085	1.20463	83232.1	15.3541	1.66464	136422	0.30316	27159	19.9081	0.54318
J 9	543142	1.20698	70364.3	12.9551	1.40729	135544	0.301209	23879	17.6172	0.47758
J 8	541966	1.20437	62752.1	11.5786	1.25504	135674	0.301498	22003	16.2176	0.44006
J 7	542845	1.20632	55336.4	10.1938	1.10673	136026	0.30228	20311	14.9317	0.40622
J 6	542471	1.20549	48912.1	9.01653	0.978242	135628	0.301396	18427	13.5864	0.36854
J 5	543281	1.20729	47824.8	8.80297	0.956497	136149	0.302553	18590	13.6542	0.3718
J 4	544547	1.2101	46595.7	8.55679	0.931915	136599	0.303553	18449	13.506	0.36898
J 3	544029	1.20895	45591.1	8.38028	0.911823	136075	0.302389	17700	13.0075	0.354
J 2	542043	1.20454	44342.1	8.18056	0.886843	135279	0.30062	17101	12.6413	0.34202
10 10	204088	0.453529	39137.8	19.1769	0.782756	0	0	0	-1.#IND	0
10 9	543828	1.20851	73072.3	13.4367	1.46145	135564	0.301253	24009	17.7105	0.48018
10 8	543702	1.20823	64453.8	11.8546	1.28908	135566	0.301258	22264	16.423	0.44528
10 7	542744	1.2061	56757.3	10.4575	1.13515	135367	0.300816	20243	14.9542	0.40486
10 6	542255	1.20501	50507.6	9.31436	1.01015	135414	0.30092	19179	14.1632	0.38358
10 5	542921	1.20649	44916.1	8.27304	0.898321	135721	0.301602	17700	13.0415	0.354
10 4	543222	1.20716	44178.1	8.1326	0.883561	136071	0.30238	17612	12.9432	0.35224
10 3	541729	1.20384	42628.3	7.86893	0.852565	135614	0.301364	16966	12.5105	0.33932
10 2	543012	1.20669	41498.1	7.64221	0.829963	135765	0.3017	16529	12.1747	0.33058
