Num Players: 7
Num Rounds: 5000000
Num Hands: 35000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	6093390	17.4097	723	0.01446
Pair	15346066	43.8459	669982	13.3996
TwoPair	8217499	23.4786	1423654	28.4731
Set	1689096	4.82599	750659	15.0132
Straight	1617541	4.62155	897641	17.9528
Flush	1061390	3.03254	591686	11.8337
FullHouse	908291	2.59512	606484	12.1297
Quads	58503	0.167151	51325	1.0265
StraighFlush	7342	0.0209771	6992	0.13984
RoyalFlush	882	0.00252	854	0.01708

Straight when connector	7.50244
Flush when Suited 	6.52022

Set when pair up	45.559
Straight when three up	33.6358
Straight when four up	40.2298
Flush when three up	57.2209
Flush when four up	262.452
Full House when pair up	19.7023
Full House when set up	233.955
Full House when two pair up	115.903
Quad when pair up	0.744857
Quad when set up	29.8557

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	158175	0.451929	68896.3	43.557	1.37793	0	0	0	-1.#IND	0
A K	422222	1.20635	106357	25.1899	2.12715	106095	0.303129	30809	29.0391	0.61618
A Q	422400	1.20686	98212.9	23.2512	1.96426	105403	0.301151	28786	27.3104	0.57572
A J	422979	1.20851	92232.3	21.8054	1.84465	106272	0.303634	27867	26.2223	0.55734
A 10	421962	1.20561	86611.4	20.5259	1.73223	105940	0.302686	26627	25.134	0.53254
A 9	422797	1.20799	75757.1	17.9181	1.51514	105561	0.301603	24053	22.7859	0.48106
A 8	422457	1.20702	73135	17.3118	1.4627	105461	0.301317	23472	22.2566	0.46944
A 7	423081	1.2088	69227.3	16.3627	1.38455	105298	0.300851	22416	21.2882	0.44832
A 6	422844	1.20813	65873.4	15.5786	1.31747	105594	0.301697	21869	20.7105	0.43738
A 5	421615	1.20461	69194	16.4116	1.38388	106014	0.302897	22989	21.6849	0.45978
A 4	421732	1.20495	66906.7	15.8647	1.33813	105319	0.300911	22184	21.0636	0.44368
A 3	422067	1.20591	65047.8	15.4117	1.30096	105282	0.300806	21502	20.4232	0.43004
A 2	422943	1.20841	62976.6	14.8901	1.25953	105528	0.301509	21187	20.0771	0.42374
K K	157789	0.450826	58959.4	37.366	1.17919	0	0	0	-1.#IND	0
K Q	423027	1.20865	95397.9	22.5513	1.90796	106150	0.303286	28046	26.4211	0.56092
K J	422393	1.20684	88843.7	21.0334	1.77687	105749	0.30214	26845	25.3856	0.5369
K 10	422375	1.20679	84564.8	20.0213	1.6913	105953	0.302723	25922	24.4656	0.51844
K 9	421009	1.20288	73187.2	17.3838	1.46374	105431	0.301231	23198	22.003	0.46396
K 8	422391	1.20683	65392.3	15.4815	1.30785	106113	0.30318	21465	20.2284	0.4293
K 7	423800	1.21086	63389.1	14.9573	1.26778	105767	0.302191	21035	19.8881	0.4207
