Num Players: 6
Num Rounds: 5000000
Num Hands: 30000000

Hand type	# Hands		% of hands	# rounds won	% of rounds won
High		5225039		17.4168		2617		0.05234
Pair		13145585	43.8186		807221		16.1444
TwoPair		7044991		23.4833		1524446		30.4889
Set		1449650		4.83217		694968		13.8994
Straight	1387296		4.62432		829775		16.5955
Flush		910549		3.03516		542743		10.8549
FullHouse	779571		2.59857		546961		10.9392
Quads		50299		0.167663	44504		0.89008
StraighFlush	6290		0.0209667	6047		0.12094
RoyalFlush	730		0.00243333	718		0.01436

Straight when connector		7.49269
Flush when Suited 		6.51098
Set when pair up		39.0846
Straight when three up		28.8715
Straight when four up		34.5207
Flush when three up		49.0884
Flush when four up		225.451
Full House when pair up		16.9289
Full House when set up		200.045
Full House when two pair up	99.4457
Quad when pair up		0.650879
Quad when set up		25.612

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	135591	0.45197	66824.8	49.2841	1.3365	0	0	0	-1.#IND	0
A K	362834	1.20945	103643	28.5649	2.07287	90784	0.302613	29477	32.4694	0.58954
A Q	362937	1.20979	96649.3	26.6298	1.93299	90642	0.30214	27729	30.5918	0.55458
A J	362225	1.20742	91004.4	25.1237	1.82009	89813	0.299377	26513	29.5202	0.53026
A 10	362256	1.20752	86679.3	23.9276	1.73359	90913	0.303043	25824	28.4052	0.51648
A 9	362482	1.20827	76509.7	21.1072	1.53019	90521	0.301737	23440	25.8945	0.4688
A 8	361640	1.20547	73502.2	20.3247	1.47004	90722	0.302407	22950	25.2971	0.459
A 7	361761	1.20587	70225	19.412	1.4045	90433	0.301443	22239	24.5917	0.44478
A 6	363106	1.21035	66715.2	18.3735	1.3343	90444	0.30148	21075	23.3017	0.4215
A 5	361835	1.20612	69226	19.1319	1.38452	90494	0.301647	22149	24.4757	0.44298
A 4	362485	1.20828	66791.2	18.4259	1.33582	90819	0.30273	21596	23.7792	0.43192
