Num Players: 10
Num Rounds: 5000000
Num Hands: 50000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	8712275	17.4245	5	0.0001
Pair	21905907	43.8118	395164	7.90328
TwoPair	11747537	23.4951	1137806	22.7561
Set	2412863	4.82573	865202	17.304
Straight	2310917	4.62183	1044994	20.8999
Flush	1517432	3.03486	712121	14.2424
FullHouse	1296572	2.59314	760210	15.2042
Quads	84818	0.169636	73405	1.4681
StraighFlush	10471	0.020942	9905	0.1981
RoyalFlush	1208	0.002416	1188	0.02376

Straight when connector	7.50805
Flush when Suited 	6.5193

Set when pair up	65.0743
Straight when three up	48.0784
Straight when four up	57.4987
Flush when three up	81.8116
Flush when four up	374.86
Full House when pair up	28.1264
Full House when set up	333.901
Full House when two pair up	165.466
Quad when pair up	1.07664
Quad when set up	42.7548

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	226053	0.452106	70191.6	31.0509	1.40383	0	0	0	-1.#IND	0
A K	604581	1.20916	108748	17.9874	2.17497	151732	0.303464	33285	21.9367	0.6657
A Q	603823	1.20765	98813.7	16.3647	1.97627	151001	0.302002	31177	20.6469	0.62354
A J	603930	1.20786	91060	15.0779	1.8212	151620	0.30324	29781	19.6419	0.59562
A 10	602775	1.20555	86227.4	14.3051	1.72455	149982	0.299964	28432	18.9569	0.56864
A 9	600795	1.20159	73382.6	12.2142	1.46765	149589	0.299178	25720	17.1938	0.5144
A 8	603644	1.20729	70173.2	11.6249	1.40346	150500	0.301	25026	16.6286	0.50052
A 7	603279	1.20656	66887	11.0872	1.33774	150238	0.300476	24481	16.2948	0.48962
A 6	604286	1.20857	63944.1	10.5818	1.27888	150926	0.301852	23811	15.7766	0.47622
A 5	604342	1.20868	68313.4	11.3038	1.36627	151225	0.30245	25044	16.5608	0.50088
A 4	603257	1.20651	66208.9	10.9752	1.32418	151074	0.302148	24335	16.108	0.4867
A 3	603768	1.20754	64650.9	10.7079	1.29302	150848	0.301696	23886	15.8345	0.47772
A 2	601374	1.20275	62410.9	10.378	1.24822	150250	0.3005	23083	15.3631	0.46166
K K	226285	0.45257	59265.9	26.1908	1.18532	0	0	0	-1.#IND	0
K Q	603165	1.20633	95786.4	15.8806	1.91573	150683	0.301366	30003	19.9113	0.60006
K J	602799	1.2056	89048.9	14.7726	1.78098	151577	0.303154	29069	19.1777	0.58138
K 10	603475	1.20695	84291.3	13.9677	1.68583	151487	0.302974	28414	18.7567	0.56828
K 9	603727	1.20745	71050.9	11.7687	1.42102	150986	0.301972	24881	16.479	0.49762
K 8	603785	1.20757	62809.9	10.4027	1.2562	150782	0.301564	22769	15.1006	0.45538
K 7	604416	1.20883	60887.9	10.0738	1.21776	151585	0.30317	22666	14.9527	0.45332
K 6	602631	1.20526	58189.1	9.65583	1.16378	150479	0.300958	22119	14.6991	0.44238
K 5	603598	1.2072	56810.6	9.41199	1.13621	151193	0.302386	21733	14.3743	0.43466
K 4	604595	1.20919	55644.8	9.20364	1.1129	150790	0.30158	21513	14.2669	0.43026
K 3	603928	1.20786	54377.3	9.00394	1.08755	150401	0.300802	20999	13.962	0.41998
K 2	602147	1.20429	52982.3	8.79889	1.05965	149837	0.299674	20119	13.4273	0.40238
Q Q	226042	0.452084	50170.6	22.1952	1.00341	0	0	0	-1.#IND	0
Q J	604414	1.20883	88235	14.5984	1.7647	151374	0.302748	28607	18.8982	0.57214
Q 10	603596	1.20719	83178.6	13.7805	1.66357	150870	0.30174	27400	18.1613	0.548
Q 9	602366	1.20473	69285	11.5021	1.3857	150136	0.300272	24153	16.0874	0.48306
Q 8	602895	1.20579	61153.3	10.1433	1.22307	150152	0.300304	22408	14.9235	0.44816
Q 7	604648	1.2093	54444.3	9.00429	1.08889	151329	0.302658	20556	13.5836	0.41112
Q 6	603529	1.20706	52611.3	8.71727	1.05223	150720	0.30144	20400	13.535	0.408
Q 5	602468	1.20494	51208	8.49971	1.02416	150761	0.301522	19963	13.2415	0.39926
Q 4	603061	1.20612	50497.4	8.37352	1.00995	150588	0.301176	19893	13.2102	0.39786
Q 3	603131	1.20626	48869.3	8.1026	0.977386	151439	0.302878	19555	12.9128	0.3911
Q 2	602910	1.20582	47836.8	7.93432	0.956737	150800	0.3016	18973	12.5816	0.37946
J J	226204	0.452408	43712.7	19.3245	0.874254	0	0	0	-1.#IND	0
J 10	601836	1.20367	84527.9	14.045	1.69056	150321	0.300642	27800	18.4938	0.556
J 9	604217	1.20843	70653.1	11.6933	1.41306	151462	0.302924	24567	16.2199	0.49134
J 8	603430	1.20686	61934.5	10.2637	1.23869	151119	0.302238	22611	14.9624	0.45222
J 7	604909	1.20982	54707.1	9.04386	1.09414	151394	0.302788	21016	13.8817	0.42032
J 6	604363	1.20873	48296.6	7.99133	0.965933	150514	0.301028	19146	12.7204	0.38292
J 5	602604	1.20521	47596.1	7.89841	0.951922	151052	0.302104	19197	12.7089	0.38394
J 4	603256	1.20651	45989.2	7.6235	0.919784	150313	0.300626	18528	12.3263	0.37056
J 3	602888	1.20578	45170.9	7.49242	0.903418	150161	0.300322	18053	12.0224	0.36106
J 2	602788	1.20558	43696.1	7.24899	0.873921	150985	0.30197	17809	11.7952	0.35618
10 10	226341	0.452682	39077.6	17.2649	0.781553	0	0	0	-1.#IND	0
10 9	602581	1.20516	73383.2	12.1781	1.46766	150646	0.301292	24819	16.475	0.49638
10 8	603153	1.20631	64376.9	10.6734	1.28754	150864	0.301728	22799	15.1123	0.45598
10 7	603032	1.20606	56651.6	9.39446	1.13303	150675	0.30135	21046	13.9678	0.42092
10 6	603009	1.20602	50075.1	8.3042	1.0015	150200	0.3004	19619	13.0619	0.39238
10 5	603177	1.20635	44105.1	7.31214	0.882103	150773	0.301546	18198	12.0698	0.36396
10 4	604364	1.20873	43916.2	7.26652	0.878324	151032	0.302064	17932	11.873	0.35864
10 3	602119	1.20424	42309.5	7.02677	0.84619	150395	0.30079	17423	11.5848	0.34846
10 2	604450	1.2089	41338.8	6.83908	0.826777	151492	0.302984	17228	11.3722	0.34456
9 9	226216	0.452432	35286.6	15.5986	0.705732	0	0	0	-1.#IND	0
9 8	603514	1.20703	64841.5	10.744	1.29683	150832	0.301664	22566	14.961	0.45132
9 7	604663	1.20933	58126.8	9.61309	1.16254	151529	0.303058	21107	13.9293	0.42214
9 6	604262	1.20852	51748.5	8.56392	1.03497	150871	0.301742	19553	12.9601	0.39106
9 5	602976	1.20595	45174.3	7.49189	0.903486	150231	0.300462	18154	12.0841	0.36308
9 4	603160	1.20632	39256.4	6.50845	0.785128	150809	0.301618	16386	10.8654	0.32772
9 3	603302	1.2066	38861.4	6.44145	0.777228	150915	0.30183	16286	10.7915	0.32572
9 2	604384	1.20877	38242.8	6.32757	0.764856	151484	0.302968	16040	10.5886	0.3208
8 8	225778	0.451556	32823.5	14.5379	0.65647	0	0	0	-1.#IND	0
8 7	603495	1.20699	61001.5	10.108	1.22003	151307	0.302614	21507	14.2141	0.43014
8 6	602496	1.20499	54688	9.0769	1.09376	150639	0.301278	20122	13.3578	0.40244
8 5	602849	1.2057	48681	8.07516	0.97362	150704	0.301408	18799	12.4741	0.37598
8 4	603072	1.20614	42158.1	6.99056	0.843162	150942	0.301884	16972	11.2441	0.33944
8 3	603201	1.2064	36415.1	6.03698	0.728302	151152	0.302304	15275	10.1057	0.3055
