Num Players: 3
Num Rounds: 5000000
Num Hands: 15000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High	2610921	17.4061	98399	1.96798
Pair	6576371	43.8425	1499054	29.9811
TwoPair	3525742	23.5049	1696611	33.9322
Set	723263	4.82175	462129	9.24258
Straight	691950	4.613	539023	10.7805
Flush	453815	3.02543	352182	7.04364
FullHouse	389240	2.59493	326389	6.52778
Quads	25218	0.16812	22791	0.45582
StraighFlush	3113	0.0207533	3060	0.0612
RoyalFlush	367	0.00244667	362	0.00724

Straight when connector	7.46958
Flush when Suited 	6.4983

Set when pair up	19.5401
Straight when three up	14.3821
Straight when four up	17.2001
Flush when three up	24.4504
Flush when four up	112.093
Full House when pair up	8.41623
Full House when set up	100.658
Full House when two pair up	49.8581
Quad when pair up	0.328722
Quad when set up	12.7385

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	67958	0.453053	49862.6	73.3726	0.997252	0	0	0	-1.#IND	0
A K	180903	1.20602	88501.6	48.9221	1.77003	45125	0.300833	23411	51.8803	0.46822
A Q	180800	1.20533	86062.9	47.6012	1.72126	45117	0.30078	23000	50.9786	0.46
A J	181507	1.21005	83792.7	46.165	1.67585	45487	0.303247	22445	49.3438	0.4489
A 10	181212	1.20808	81376.2	44.9066	1.62752	45302	0.302013	21954	48.4614	0.43908
A 9	181832	1.21221	76943.6	42.3158	1.53887	45564	0.30376	21094	46.2953	0.42188
A 8	181648	1.21099	74978.9	41.277	1.49958	45427	0.302847	20626	45.4047	0.41252
A 7	180731	1.20487	72403.1	40.0612	1.44806	45105	0.3007	19946	44.2213	0.39892
A 6	180414	1.20276	69702	38.6345	1.39404	45009	0.30006	19570	43.4802	0.3914
A 5	181078	1.20719	70222.6	38.7803	1.40445	45480	0.3032	19771	43.4719	0.39542
A 4	181273	1.20849	69266.6	38.2112	1.38533	45576	0.30384	19536	42.8647	0.39072
A 3	180615	1.2041	66787.4	36.9778	1.33575	45007	0.300047	18836	41.8513	0.37672
A 2	180879	1.20586	65361	36.1352	1.30722	45267	0.30178	18455	40.7692	0.3691
K K	67529	0.450193	46441.3	68.7723	0.928826	0	0	0	-1.#IND	0
K Q	180457	1.20305	81131	44.9586	1.62262	45295	0.301967	21821	48.1753	0.43642
K J	181475	1.20983	79503.2	43.8095	1.59006	45539	0.303593	21495	47.2013	0.4299
K 10	181749	1.21166	77452.3	42.615	1.54905	45698	0.304653	21165	46.3149	0.4233
K 9	180541	1.20361	72361.2	40.0802	1.44722	44879	0.299193	19722	43.9448	0.39444
K 8	180827	1.20551	68463.8	37.8615	1.36928	45243	0.30162	18911	41.7987	0.37822
K 7	180893	1.20595	66605	36.8201	1.3321	45584	0.303893	18798	41.2382	0.37596
K 6	180359	1.20239	64746.8	35.8988	1.29494	45255	0.3017	18318	40.4773	0.36636
K 5	180794	1.20529	62863	34.7705	1.25726	45396	0.30264	17953	39.5475	0.35906
K 4	181471	1.20981	61684.3	33.9912	1.23369	45280	0.301867	17495	38.6374	0.3499
K 3	181172	1.20781	59792.9	33.0034	1.19586	45451	0.303007	17195	37.832	0.3439
K 2	180542	1.20361	57941.8	32.0933	1.15884	45247	0.301647	16666	36.8334	0.33332
Q Q	67874	0.452493	44154.1	65.0531	0.883083	0	0	0	-1.#IND	0
Q J	181251	1.20834	76034.8	41.95	1.5207	45611	0.304073	20834	45.6776	0.41668
Q 10	180659	1.20439	73927	40.9207	1.47854	45290	0.301933	20273	44.7626	0.40546
Q 9	180971	1.20647	69489.9	38.3984	1.3898	45385	0.302567	19230	42.3708	0.3846
Q 8	181178	1.20785	65428.5	36.1128	1.30857	45331	0.302207	18171	40.0852	0.36342
Q 7	180304	1.20203	61252.4	33.9717	1.22505	45294	0.30196	17310	38.217	0.3462
Q 6	180981	1.20654	60129.5	33.2242	1.20259	45449	0.302993	17206	37.8578	0.34412
Q 5	180589	1.20393	58013.4	32.1246	1.16027	45053	0.300353	16711	37.0919	0.33422
Q 4	180985	1.20657	56885.5	31.4311	1.13771	45478	0.303187	16514	36.3121	0.33028
Q 3	181410	1.2094	55171.4	30.4125	1.10343	45343	0.302287	15961	35.2006	0.31922
Q 2	181966	1.21311	53810.5	29.5717	1.07621	45454	0.303027	15724	34.5932	0.31448
J J	67647	0.45098	41294.2	61.0436	0.825883	0	0	0	-1.#IND	0
J 10	180942	1.20628	71727	39.6409	1.43454	45342	0.30228	19615	43.2601	0.3923
J 9	180530	1.20353	66856.7	37.0336	1.33713	44826	0.29884	18299	40.8223	0.36598
J 8	180765	1.2051	62930.5	34.8134	1.25861	45205	0.301367	17436	38.571	0.34872
J 7	181732	1.21155	59837	32.926	1.19674	45598	0.303987	17005	37.2933	0.3401
J 6	180464	1.20309	55608.1	30.8139	1.11216	45492	0.30328	16239	35.6964	0.32478
J 5	180432	1.20288	54276.2	30.0813	1.08552	45252	0.30168	15801	34.9178	0.31602
J 4	180565	1.20377	53108.7	29.4125	1.06217	45197	0.301313	15546	34.3961	0.31092
J 3	180779	1.20519	51115.7	28.2752	1.02231	45084	0.30056	14894	33.0361	0.29788
J 2	180737	1.20491	50025.9	27.6788	1.00052	45148	0.300987	14720	32.6039	0.2944
10 10	68217	0.45478	39138	57.3728	0.78276	0	0	0	-1.#IND	0
10 9	181329	1.20886	65512.9	36.1293	1.31026	45472	0.303147	18274	40.1874	0.36548
10 8	180372	1.20248	61435	34.0602	1.2287	45204	0.30136	17380	38.4479	0.3476
10 7	180797	1.20531	58161.5	32.1695	1.16323	45074	0.300493	16524	36.6597	0.33048
10 6	180877	1.20585	54300.3	30.0205	1.08601	45452	0.303013	15678	34.4935	0.31356
10 5	181763	1.21175	50674.8	27.8796	1.01349	45440	0.302933	14786	32.5396	0.29572
10 4	180845	1.20563	49891.8	27.5882	0.997836	45182	0.301213	14778	32.7077	0.29556
10 3	181030	1.20687	48022.6	26.5274	0.960451	45236	0.301573	14165	31.3136	0.2833
10 2	180890	1.20593	46369.3	25.634	0.927386	45625	0.304167	13911	30.4899	0.27822
9 9	67840	0.452267	36319.4	53.5368	0.726387	0	0	0	-1.#IND	0
9 8	181551	1.21034	60593.1	33.3753	1.21186	45378	0.30252	17181	37.862	0.34362
9 7	180290	1.20193	56770.2	31.4883	1.1354	44792	0.298613	16028	35.7832	0.32056
9 6	181046	1.20697	53258.9	29.4174	1.06518	45316	0.302107	15415	34.0167	0.3083
9 5	181200	1.208	49850.3	27.5112	0.997006	45341	0.302273	14691	32.4011	0.29382
9 4	180684	1.20456	45925.1	25.4174	0.918502	45159	0.30106	13476	29.8412	0.26952
9 3	180790	1.20527	44819.2	24.7907	0.896383	45066	0.30044	13469	29.8873	0.26938
9 2	181354	1.20903	43637.1	24.0618	0.872742	45242	0.301613	12959	28.6437	0.25918
8 8	68094	0.45396	33789.6	49.6219	0.675791	0	0	0	-1.#IND	0
8 7	180657	1.20438	55802.5	30.8886	1.11605	45270	0.3018	15918	35.1624	0.31836
8 6	180419	1.20279	52906.1	29.324	1.05812	45065	0.300433	15356	34.0752	0.30712
8 5	181070	1.20713	49725.4	27.462	0.994508	44952	0.29968	14555	32.379	0.2911
8 4	181300	1.20867	45909.9	25.3226	0.918197	45476	0.303173	13842	30.438	0.27684
8 3	180741	1.20494	42429.4	23.4753	0.848589	45175	0.301167	12915	28.5888	0.2583
8 2	181189	1.20793	41255.5	22.7693	0.825111	45208	0.301387	12565	27.7938	0.2513
7 7	68173	0.454487	31745.8	46.5665	0.634915	0	0	0	-1.#IND	0
7 6	181183	1.20789	52958.5	29.2293	1.05917	45469	0.303127	15452	33.9836	0.30904
7 5	181571	1.21047	49404.4	27.2094	0.988087	45271	0.301807	14449	31.9167	0.28898
7 4	180880	1.20587	46004	25.4334	0.92008	44915	0.299433	13566	30.2037	0.27132
7 3	180570	1.2038	42570.8	23.5758	0.851415	45022	0.300147	12865	28.5749	0.2573
7 2	181681	1.21121	38934	21.4299	0.778681	45548	0.303653	12154	26.6839	0.24308
6 6	68064	0.45376	29387.9	43.1769	0.587759	0	0	0	-1.#IND	0
6 5	182511	1.21674	50218.8	27.5155	1.00438	45615	0.3041	14698	32.2219	0.29396
6 4	181130	1.20753	46786	25.8301	0.93572	45194	0.301293	13828	30.597	0.27656
6 3	180564	1.20376	43066.3	23.851	0.861325	45042	0.30028	12771	28.3535	0.25542
6 2	180398	1.20265	39411.5	21.847	0.788229	45081	0.30054	12143	26.936	0.24286
5 5	67898	0.452653	26949.1	39.6905	0.538981	0	0	0	-1.#IND	0
5 4	180846	1.20564	47274.4	26.1407	0.945487	45251	0.301673	13927	30.7772	0.27854
5 3	180520	1.20347	44218.4	24.495	0.884369	45356	0.302373	13303	29.3302	0.26606
5 2	181141	1.20761	41042.8	22.6579	0.820856	45242	0.301613	12514	27.6601	0.25028
4 4	67820	0.452133	25072.6	36.9693	0.501451	0	0	0	-1.#IND	0
4 3	181352	1.20901	42587.4	23.4833	0.851749	45420	0.3028	12752	28.0757	0.25504
4 2	181072	1.20715	39351	21.7322	0.78702	45578	0.303853	12146	26.6488	0.24292
3 3	67652	0.451013	22731.9	33.6012	0.454638	0	0	0	-1.#IND	0
3 2	181089	1.20726	37577.6	20.7509	0.751552	45491	0.303273	11655	25.6205	0.2331
2 2	68120	0.454133	20850.5	30.6085	0.41701	0	0	0	-1.#IND	0
