Num Players: 2
Num Rounds: 5000000
Num Hands: 10000000

Hand type	# Hands	% of hands	# rounds won	% of rounds won
High		1740888	17.4089		296213		5.92426
Pair		4380100	43.801		1854416		37.0883
TwoPair		2352790	23.5279		1573816		31.4763
Set		482196	4.82196		358977		7.17954
Straight	461696	4.61696		400720		8.0144
Flush		303321	3.03321		262831		5.25662
FullHouse	259884	2.59884		235150		4.703
Quads		16801	0.16801		15588		0.31176
StraighFlush	2083	0.02083		2053		0.04106
RoyalFlush	241	0.00241		236		0.00472

Straight when connector	7.4982
Flush when Suited 	6.52988
Set when pair up	12.9798
Straight when three up	9.60703
Straight when four up	11.4906
Flush when three up	16.3323
Flush when four up	75.0733
Full House when pair up	5.62984
Full House when set up	66.8129
Full House when two pair up	33.1935
Quad when pair up	0.21424
Quad when set up	8.52103

Starting Hand	# Hands	% hands	# rounds won	% rounds won	% all rounds won	# Hands Suited	% hands Suited	# rounds won Suited	% rounds won Suited	% all rounds won
A A	45200	0.452	38588.5	85.3728	0.77177	0	0	0	-1.#IND	0
A K	120615	1.20615	79474.5	65.8911	1.58949	30054	0.30054	20420	67.9444	0.4084
A Q	120583	1.20583	78247.5	64.891	1.56495	30230	0.3023	20314	67.1982	0.40628
A J	120932	1.20932	77310.5	63.9289	1.54621	30097	0.30097	19877	66.0431	0.39754
A 10	120230	1.2023	76065.5	63.2667	1.52131	30348	0.30348	20011	65.9384	0.40022
A 9	120684	1.20684	73647.5	61.0251	1.47295	30041	0.30041	19182	63.8527	0.38364
A 8	120495	1.20495	72592	60.2448	1.45184	30081	0.30081	19098	63.4886	0.38196
A 7	120633	1.20633	71615	59.366	1.4323	30308	0.30308	19071	62.924	0.38142
A 6	120853	1.20853	70321.5	58.1876	1.40643	30317	0.30317	18638	61.4771	0.37276
A 5	120634	1.20634	70335.5	58.3049	1.40671	29962	0.29962	18517	61.8016	0.37034
A 4	119977	1.19977	68723.5	57.2806	1.37447	30196	0.30196	18386	60.8889	0.36772
A 3	120461	1.20461	67689	56.1916	1.35378	30126	0.30126	17959	59.613	0.35918
A 2	121155	1.21155	67248.5	55.5062	1.34497	30493	0.30493	18165	59.571	0.3633
K K	45325	0.45325	37256	82.1975	0.74512	0	0	0	-1.#IND	0
K Q	121170	1.2117	75124	61.9988	1.50248	30352	0.30352	19593	64.5526	0.39186
K J	120222	1.20222	73229	60.9115	1.46458	30030	0.3003	19165	63.8195	0.3833
K 10	120781	1.20781	72610	60.1171	1.4522	30337	0.30337	19108	62.9858	0.38216
K 9	119978	1.19978	70043	58.3799	1.40086	30104	0.30104	18542	61.5931	0.37084
K 8	120926	1.20926	68256	56.4444	1.36512	30368	0.30368	18063	59.4804	0.36126
K 7	120355	1.20355	67213	55.8456	1.34426	30139	0.30139	17888	59.3517	0.35776
K 6	120746	1.20746	66295	54.9045	1.3259	30449	0.30449	17853	58.6325	0.35706
K 5	120766	1.20766	65187	53.9779	1.30374	30215	0.30215	17498	57.9116	0.34996
K 4	120571	1.20571	64021	53.0982	1.28042	30112	0.30112	17177	57.0437	0.34354
K 3	120406	1.20406	62633.5	52.0186	1.25267	30142	0.30142	16862	55.9419	0.33724
K 2	120310	1.2031	61657.5	51.2489	1.23315	29982	0.29982	16686	55.6534	0.33372
Q Q	45228	0.45228	36059.5	79.7283	0.72119	0	0	0	-1.#IND	0
Q J	121021	1.21021	70860	58.5518	1.4172	30128	0.30128	18460	61.2719	0.3692
Q 10	121070	1.2107	69985.5	57.8058	1.39971	30311	0.30311	18475	60.9515	0.3695
Q 9	121055	1.21055	67532.5	55.7866	1.35065	30328	0.30328	17965	59.2357	0.3593
Q 8	120319	1.20319	65278.5	54.2545	1.30557	30455	0.30455	17427	57.2221	0.34854
Q 7	120904	1.20904	63424	52.4581	1.26848	29958	0.29958	16828	56.172	0.33656
Q 6	120503	1.20503	62340.5	51.7336	1.24681	30041	0.30041	16614	55.3044	0.33228
Q 5	120954	1.20954	61220	50.6143	1.2244	29977	0.29977	16433	54.8187	0.32866
Q 4	120448	1.20448	60109	49.9045	1.20218	30033	0.30033	16315	54.3236	0.3263
Q 3	120909	1.20909	59267	49.0179	1.18534	30526	0.30526	16345	53.5445	0.3269
Q 2	121019	1.21019	58014.5	47.9383	1.16029	30376	0.30376	15865	52.2287	0.3173
J J	45310	0.4531	35056.5	77.3703	0.70113	0	0	0	-1.#IND	0
J 10	121032	1.21032	67266	55.577	1.34532	30138	0.30138	17629	58.4943	0.35258
J 9	119809	1.19809	64730.5	54.0281	1.29461	29830	0.2983	17157	57.5159	0.34314
J 8	120759	1.20759	62937.5	52.1183	1.25875	30279	0.30279	17008	56.1709	0.34016
J 7	120417	1.20417	60407	50.1648	1.20814	30227	0.30227	16322	53.9981	0.32644
J 6	120743	1.20743	58461	48.4177	1.16922	30091	0.30091	15860	52.7068	0.3172
J 5	120284	1.20284	57539	47.836	1.15078	30284	0.30284	15984	52.7803	0.31968
J 4	120522	1.20522	56710.5	47.0541	1.13421	30257	0.30257	15462	51.1022	0.30924
J 3	120729	1.20729	55705.5	46.1409	1.11411	30102	0.30102	15104	50.1761	0.30208
